	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ekadashi	Proper noun	tr	a eleventh day	ben	একাদশী
eng	Ekadashi	Proper noun	tr	a eleventh day	guj	અગિયારસ
eng	Ekadashi	Proper noun	tr	a eleventh day	hin	एकादशी
eng	Ekadashi	Proper noun	tr	a eleventh day	hin	ग्यारस
eng	Ekadashi	Proper noun	tr	a eleventh day	kan	ಏಕಾದಶಿ
eng	Ekadashi	Proper noun	tr	a eleventh day	kok	एकादस
eng	Ekadashi	Proper noun	tr	a eleventh day	mai	एकादशी
eng	Ekadashi	Proper noun	tr	a eleventh day	mal	ഏകാദശി
eng	Ekadashi	Proper noun	tr	a eleventh day	mar	एकादशी
eng	Ekadashi	Proper noun	tr	a eleventh day	nep	एकादशी
eng	Ekadashi	Proper noun	tr	a eleventh day	new	एकादशि
eng	Ekadashi	Proper noun	tr	a eleventh day	ori	ଏକାଦଶୀ
eng	Ekadashi	Proper noun	tr	a eleventh day	san	एकादशी	f
eng	Ekadashi	Proper noun	tr	a eleventh day	tam	ஏகாதசி
eng	Ekadashi	Proper noun	tr	a eleventh day	tel	ఏకాదశి
eng	Ekavian	Proper noun	tr	Dialect or a group of dialects	hbs	ekavski
eng	Ekavian	Proper noun	tr	Dialect or a group of dialects	hbs	ekavski izgovor
eng	Ekavian	Proper noun	tr	Dialect or a group of dialects	hbs	екавски
eng	Ekavian	Proper noun	tr	Dialect or a group of dialects	hbs	екавски изговор
eng	Ekavian	Proper noun	tr	Dialect or a group of dialects	pol	ekawski	m
