	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Equality State	Proper noun	tr	Wyoming	fra	État de l'égalité	m
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	dan	ækvatorialguineansk
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	deu	äquatorialguineisch
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	hun	egyenlítői-guineai
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	isl	miðbaugsgíneskur
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	ita	equatoguineano
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	nld	Equatoriaal-Guinees
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	nno	ekvatorialguineansk
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	nob	ekvatorialguineansk
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	por	equato-guineense
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	por	guinéu-equatoriano
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	spa	ecuatoguineano	m
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	spa	guineoecuatoriano
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	swa	Kiginekweta
eng	Equatorial Guinean	Adjective	tr	Of, from, or pertaining to Equatorial Guinea, the Equatorial Guinean people or the Equatorial Guinean culture	swe	ekvatorialguineansk
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	cat	equatoguineà	m
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	dan	ækvatorialguineaner
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	deu	Äquatorialguineerin	f
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	deu	Äquatorialguineer	m
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	glg	ecuatoguineano	m
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	isl	Miðbaugs-Gíneumaður
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	isl	Miðbaugs-Gíneumenn
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	ita	equatoguineana	f
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	ita	equatoguineane	f-p
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	ita	equatoguineani	m-p
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	ita	equatoguineano	m
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	nld	Equatoriaal-Guineeër	m
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	nld	Equatoriaal-Guinese	f
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	nno	ekvatorialguineanar	m
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	nno	ekvatorialguinean	m
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	nob	ekvatorialguineaner	m
eng	Equatorial Guinean	Noun	tr	A person from Equatorial Guinea or of Equatorial Guinean descent	por	equato-guineense
