	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	F-flat	Noun	tr	a tone one semitone lower than an F, denoted F♭	ces	fes
eng	F-flat	Noun	tr	a tone one semitone lower than an F, denoted F♭	hun	fesz
eng	F-flat	Noun	tr	a tone one semitone lower than an F, denoted F♭	nno	fess
eng	F-flat	Noun	tr	a tone one semitone lower than an F, denoted F♭	nno	Fess
eng	F-flat	Noun	tr	a tone one semitone lower than an F, denoted F♭	nob	fess
eng	F-flat	Noun	tr	a tone one semitone lower than an F, denoted F♭	nob	Fess
eng	f-hole	Noun	tr	hole in instrument	deu	F-Loch	n
eng	f-hole	Noun	tr	hole in instrument	fin	f-aukko
eng	f-hole	Noun	tr	hole in instrument	fra	ouïe	f
eng	f-hole	Noun	tr	hole in instrument	nld	klankgat	n
eng	f-hole	Noun	tr	hole in instrument	swe	ljudhål	n
eng	f-number	Noun	tr	ratio of the focal length of a lens to its diameter	fin	aukko
eng	f-number	Noun	tr	ratio of the focal length of a lens to its diameter	fin	aukkosuhde
eng	f-number	Noun	tr	ratio of the focal length of a lens to its diameter	hun	fényerő
eng	f-number	Noun	tr	ratio of the focal length of a lens to its diameter	mri	waepuare
eng	F-sharp major	Noun	tr	major key	deu	Fis-Dur
eng	F-sharp major	Noun	tr	major key	fin	Fis-duuri
eng	F-sharp major	Noun	tr	major key	rus	фа-дие́з мажо́р	m
eng	F-sharp minor	Noun	tr	minor key	deu	fis-Moll
eng	F-sharp minor	Noun	tr	minor key	fin	molli	alt=fis-molli
eng	F-sharp minor	Noun	tr	minor key	fra	fa dièse mineur	m
eng	F-sharp minor	Noun	tr	minor key	rus	фа-дие́з мино́р	m
eng	F-sharp	Noun	tr	a tone one semitone higher than an F, denoted F♯	ces	fis
eng	F-sharp	Noun	tr	a tone one semitone higher than an F, denoted F♯	hun	fisz
eng	F-sharp	Noun	tr	a tone one semitone higher than an F, denoted F♯	pol	fis	n
eng	f-stop	Noun	tr	any of the discrete steps for adjusting the aperture of a lens	hun	f-szám
eng	f-stop	Noun	tr	any of the discrete steps for adjusting the aperture of a lens	hun	rekeszérték
eng	f-word	Noun	tr	"euphemism for the equivalent of the word ""fuck"""	deu	F-Wort	n
eng	f-word	Noun	tr	"euphemism for the equivalent of the word ""fuck"""	fin	v-sana
eng	f-word	Noun	tr	"euphemism for the equivalent of the word ""fuck"""	pol	słowo na K	n
eng	f-word	Noun	tr	"euphemism for the equivalent of the word ""fuck"""	por	c-palavra
eng	f-word	Noun	tr	"euphemism for the equivalent of the word ""fuck"""	rus	сло́во из трёх букв	n
