	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	ara	إِف بِي أَي	m	tr=ʾef bī ʾay
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	bul	ФБР	n
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	cmn	联邦调查局	tr=liánbāng diàochájú
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	cmn	聯邦調查局
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	est	Föderaalne Juurdlusbüroo
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	fas	اف‌بی‌آی	tr=ef-bi-ây	sc=fa-Arab
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	fra	FBI	m
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	glg	FBI	m
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	hin	एफ़ बी आई	sc=Deva
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	hye	ՀԴԲ
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	ind	FBI
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	jpn	エフ・ビー・アイ	tr=efu-bī-ai
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	jpn	連邦捜査局	tr=れんぽうそうさきょく, renpō sōsakyoku	sc=Jpan
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	kor	연방수사국	sc=Kore
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	mar	एफ्.बी.आय्.	sc=Deva
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	mkd	Еф-би-ај	n
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	mkd	Федерално истражно биро	n
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	mon	ХМТ	sc=Cyrl
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	mon	Холбооны мөрдөх товчоо	sc=Cyrl
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	nav	Wááshindoon bisiláo nidaʼałkaahígíí
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	nld	FBI	m
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	por	FBI	m
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	ron	FBI
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	rus	ФБР	n
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	rus	Федера́льное бюро́ рассле́дований	n
eng	FBI	Proper noun	tr	Federal Bureau of Investigation	tha	เอฟบีไอ
