	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	flabbergasted	Adjective	tr	appalled, annoyed, exhausted or disgusted	fin	äimistynyt
eng	flabbergasted	Adjective	tr	appalled, annoyed, exhausted or disgusted	fin	kauhistunut
eng	flabbergasted	Adjective	tr	appalled, annoyed, exhausted or disgusted	fin	tuohtunut
eng	flabbergasted	Adjective	tr	appalled, annoyed, exhausted or disgusted	fra	sidéré
eng	flabbergasted	Adjective	tr	euphemistic: damned	fin	hattuuntunut
eng	flabbergastedly	Adverb	tr		fra	pantoisement
eng	flabbergast	Noun	tr		deu	Erstaunen	n
eng	flabbergast	Noun	tr		deu	Verblüffung	f
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	bul	поразявам	sc=Cyrl
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	bul	слисвам	sc=Cyrl
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	ces	ohromit
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	deu	abschnallen
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	deu	aus allen Wolken fallen
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	deu	baff sein
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	deu	erstaunen
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	deu	platt sein
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	deu	verblüffen
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	ell	αφήνω άναυδο	sc=Grek
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	ell	αφήνω εμβρόντητο	sc=Grek
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	ell	καταπλήσσω	sc=Grek
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	ell	σαστίζω	sc=Grek
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	est	pahviks lööma
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	fin	ällistyttää
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	fra	époustoufler
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	ita	colpire
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	ita	impressionare
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	ita	sbalordire
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	ita	sorprendere
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	ita	stupire
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	rus	изумля́ть
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	rus	ошара́шить	sc=Cyrl
eng	flabbergast	Verb	tr	to overwhelm with bewilderment	swe	förbluffa
eng	flabbiness	Noun	tr	being flabby	fin	velttous
eng	flabbiness	Noun	tr	being flabby	fin	vetelyys
eng	flabby	Adjective	tr	wine: having a lack of acidity	nld	slap
eng	flabby	Adjective	tr	yielding to the touch	bul	мек	sc=Cyrl
eng	flabby	Adjective	tr	yielding to the touch	bul	отпуснат	sc=Cyrl
eng	flabby	Adjective	tr	yielding to the touch	cat	flàccid	m
eng	flabby	Adjective	tr	yielding to the touch	cat	fofo
eng	flabby	Adjective	tr	yielding to the touch	cym	llibin
eng	flabby	Adjective	tr	yielding to the touch	dan	slap
eng	flabby	Adjective	tr	yielding to the touch	dan	slatten
eng	flabby	Adjective	tr	yielding to the touch	fas	سست	tr=sost	sc=fa-Arab
eng	flabby	Adjective	tr	yielding to the touch	fas	شل	tr=šol	sc=fa-Arab
eng	flabby	Adjective	tr	yielding to the touch	fin	veltto
eng	flabby	Adjective	tr	yielding to the touch	fin	vetelä
eng	flabby	Adjective	tr	yielding to the touch	fra	flasque
eng	flabby	Adjective	tr	yielding to the touch	fra	ramolli
eng	flabby	Adjective	tr	yielding to the touch	gle	feolmhar
eng	flabby	Adjective	tr	yielding to the touch	glg	balofo	m
eng	flabby	Adjective	tr	yielding to the touch	glg	fole	m
eng	flabby	Adjective	tr	yielding to the touch	glg	foufeiro	m
eng	flabby	Adjective	tr	yielding to the touch	glg	furrico	m
eng	flabby	Adjective	tr	yielding to the touch	glg	gorolizo	m
eng	flabby	Adjective	tr	yielding to the touch	glg	oupado	m
eng	flabby	Adjective	tr	yielding to the touch	grc	πλαδαρός
eng	flabby	Adjective	tr	yielding to the touch	hun	ernyedt
eng	flabby	Adjective	tr	yielding to the touch	hun	petyhüdt
eng	flabby	Adjective	tr	yielding to the touch	ind	lembek
eng	flabby	Adjective	tr	yielding to the touch	ita	flaccido
eng	flabby	Adjective	tr	yielding to the touch	ita	moscio
eng	flabby	Adjective	tr	yielding to the touch	lat	flaccus
eng	flabby	Adjective	tr	yielding to the touch	lav	ļumīgs	m
eng	flabby	Adjective	tr	yielding to the touch	mri	kōwariwari
eng	flabby	Adjective	tr	yielding to the touch	mri	kōwariwari
eng	flabby	Adjective	tr	yielding to the touch	mri	kūreherehe
eng	flabby	Adjective	tr	yielding to the touch	mri	ngehe
eng	flabby	Adjective	tr	yielding to the touch	mri	ngehengehe
eng	flabby	Adjective	tr	yielding to the touch	mri	ngohungohu
eng	flabby	Adjective	tr	yielding to the touch	mri	pīpī
eng	flabby	Adjective	tr	yielding to the touch	nld	flabberig
eng	flabby	Adjective	tr	yielding to the touch	nld	slap
eng	flabby	Adjective	tr	yielding to the touch	nob	slaskete
eng	flabby	Adjective	tr	yielding to the touch	pdt	schlaup
eng	flabby	Adjective	tr	yielding to the touch	por	flácido
eng	flabby	Adjective	tr	yielding to the touch	rus	дряблый
eng	flabby	Adjective	tr	yielding to the touch	spa	flácido
eng	flabby	Adjective	tr	yielding to the touch	spa	fofo
eng	flabby	Adjective	tr	yielding to the touch	spa	lacio	m
eng	flabby	Adjective	tr	yielding to the touch	sun	biyé
eng	flabby	Adjective	tr	yielding to the touch	swe	sladdrig
eng	flabby	Adjective	tr	yielding to the touch	swe	slapp
eng	flabellate	Adjective	tr	fan-shaped	bul	ветриловиден
eng	flabellate	Adjective	tr	fan-shaped	fin	viuhkamainen
eng	flabelliform	Adjective	tr	fan shaped	fin	viuhkamainen
eng	flabelliform	Adjective	tr	fan shaped	ita	flabelliforme
eng	flabellum	Noun	tr	fan-shaped structure	fin	viuhka
eng	flabellum	Noun	tr	fan-shaped structure	ita	flabello	m
eng	flabellum	Noun	tr	fan-shaped structure	pol	wachlarz	m
eng	flabellum	Noun	tr	large fan	fin	flabellum
eng	flabellum	Noun	tr	large fan	fin	viuhka
eng	flabellum	Noun	tr	large fan	ita	flabello	m
eng	flabellum	Noun	tr	large fan	pol	wachlarz	m
eng	flab	Noun	tr	Soft, loose flesh on a person's body	bul	тлъстини	p	sc=Cyrl
eng	flab	Noun	tr	Soft, loose flesh on a person's body	hun	háj
eng	flab	Noun	tr	Soft, loose flesh on a person's body	ita	ciccia	f
eng	flaccid	Adjective	tr	flabby	bul	отпуснат	sc=Cyrl
eng	flaccid	Adjective	tr	flabby	deu	schlaff
eng	flaccid	Adjective	tr	flabby	fin	veltto
eng	flaccid	Adjective	tr	flabby	fra	flasque
eng	flaccid	Adjective	tr	flabby	grc	πλαδαρός
eng	flaccid	Adjective	tr	flabby	hun	ernyedt
eng	flaccid	Adjective	tr	flabby	hun	petyhüdt
eng	flaccid	Adjective	tr	flabby	ita	flaccido
eng	flaccid	Adjective	tr	flabby	ita	moscio	m
eng	flaccid	Adjective	tr	flabby	lat	flaccidus
eng	flaccid	Adjective	tr	flabby	mri	kūreherehe
eng	flaccid	Adjective	tr	flabby	mri	ngongohe
eng	flaccid	Adjective	tr	flabby	pdt	flebrich
eng	flaccid	Adjective	tr	flabby	pdt	schlaup
