	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	fy	Interjection	tr	expression	swe	fy
eng	fyke	Noun	tr	type of fish-trap	afr	fyke
eng	fyke	Noun	tr	type of fish-trap	cmn	长袋网
eng	fyke	Noun	tr	type of fish-trap	dan	ruse
eng	fyke	Noun	tr	type of fish-trap	deu	Reuse	f
eng	fyke	Noun	tr	type of fish-trap	deu	Sacknetz	n
eng	fyke	Noun	tr	type of fish-trap	fin	rysä
eng	fyke	Noun	tr	type of fish-trap	fra	verveux
eng	fyke	Noun	tr	type of fish-trap	ita	martavello
eng	fyke	Noun	tr	type of fish-trap	nld	fuik		m	f
eng	fyke	Noun	tr	type of fish-trap	nob	ruse
eng	fyke	Noun	tr	type of fish-trap	pol	żak	m
eng	fyke	Noun	tr	type of fish-trap	swe	ryssja
eng	fyke	Noun	tr	type of fish-trap	tur	pinter
eng	fynbos	Noun	tr	fynbos	afr	fynbos
eng	fynbos	Noun	tr	fynbos	ara	فنبوس
eng	fynbos	Noun	tr	fynbos	cat	fynbos	m
eng	fynbos	Noun	tr	fynbos	cmn	凡波斯	sc=Hani
eng	fynbos	Noun	tr	fynbos	deu	Fynbos	n
eng	fynbos	Noun	tr	fynbos	epo	finboso
eng	fynbos	Noun	tr	fynbos	fin	fynbos
eng	fynbos	Noun	tr	fynbos	fra	finbos	m
eng	fynbos	Noun	tr	fynbos	fra	fynbos	m
eng	fynbos	Noun	tr	fynbos	hin	केप फ्लोरल संरक्षित क्षेत्र	sc=Deva
eng	fynbos	Noun	tr	fynbos	ita	fynbos
eng	fynbos	Noun	tr	fynbos	jpn	フィンボス	sc=Jpan
eng	fynbos	Noun	tr	fynbos	nld	fijnbos	n
eng	fynbos	Noun	tr	fynbos	nld	fynbos
eng	fynbos	Noun	tr	fynbos	nor	fynbos
eng	fynbos	Noun	tr	fynbos	pol	fynbos
eng	fynbos	Noun	tr	fynbos	rus	финбош	m
eng	fynbos	Noun	tr	fynbos	spa	fynbos	m
eng	fynbos	Noun	tr	fynbos	swe	fynbos
eng	fynbos	Noun	tr	fynbos	tur	fynbos
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	ara	جُمْهُورِيَّة مَقْدُونِيَا اليُوغُوسْلَافِيَّة السَابِقَة	tr=jumhūriyyat maqdūniyā al-yūḡoslāviyya as-sābiqa
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	bel	БЮРМ	f
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	bre	ERYM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	bul	БЮРМ	f
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	cat	ERIM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	ces	BJRM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	dan	TJRM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	deu	EJRM	f
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	ell	ΠΓΔΜ	f
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	epo	IJRM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	est	EJMV
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	eus	MJEO
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	fin	EJTM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	fin	FYROM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	frp	ARYM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	glg	Antiga República Iugoslava da Macedonia	f
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	glg	ARIM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	hbs	BJRM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	hsb	BJRM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	hun	MVJK
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	ind	RMBY
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	isl	FJM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	lim	VJRM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	lit	BJRM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	lmo	ERIM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	por	ARJM	f
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	rus	БЮРМ	f
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	spa	ERYM
eng	FYROM	Proper noun	tr	abbreviation of the former Yugoslav Republic of Macedonia	tur	EYMC
