	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Feast of Our Lady of the Rosary	Proper noun	tr		spa	fiesta del Virgen del Rosario
eng	Feast of Our Lady of the Rosary	Proper noun	tr		spa	fiesta de Nuestra Señora del Rosario
eng	Feast of Our Lady of the Rosary	Proper noun	tr		xtm	Viko Nana Rosariu
eng	Feast of the Circumcision of Christ	Noun	tr	a celebration of the circumcision of Jesus	deu	Beschneidung des Herrn	f
eng	Feast of the Circumcision of Christ	Noun	tr	a celebration of the circumcision of Jesus	nld	Besnijdenis van de Heer	f
eng	Feast of the Holy Name of Jesus	Noun	tr	a celebration of the circumcision of Jesus	deu	Namen-Jesu-Fest	n
eng	Feast of the Holy Name of Jesus	Noun	tr	a celebration of the circumcision of Jesus	nld	Zoete Naam Jezus	m
eng	Feb	Proper noun	tr	abbreviation of February	cat	febr.
eng	Feb	Proper noun	tr	abbreviation of February	fra	févr.
eng	Feb	Proper noun	tr	abbreviation of February	gla	Gear
eng	Feb.	Proper noun	tr	abbreviation of February	gla	Gear
eng	Feb	Proper noun	tr	abbreviation of February	por	fev	m
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	rus	февра́ль-водоле́й	m
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	spa	febrero, cebadero
eng	February fill-dike	Proper noun	tr	rural appellation for the month of February	spa	lluvioso febrero, año cebadero
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	abk	жәабран
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	abq	мазахӏван
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ady	мэзай
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	afr	Februarie
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	aka	Ɔgyefoɔ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	akz	Febwiiri
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	akz	hasiholtina istatókla
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	amh	ፌብሩወሪ
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ang	solmonaþ	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	apw	Búh Ńjēēd
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	apw	Búhshchii'
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	apw	Múh Ńjēēd
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	apw	Múhshchii'
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ara	شُبَاط	m
eng	February	Proper noun	tr	second month of the Roman, Julian, and Gregorian calendars	ara	فِبْرَايِر	m
