	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Fårö	Proper noun	tr	the island	ara	جزيرة فور	sc=Arab
eng	Fårö	Proper noun	tr	the island	bel	Востраў Форэ
eng	Fårö	Proper noun	tr	the island	bul	Форьо
eng	Fårö	Proper noun	tr	the island	cat	Fårö
eng	Fårö	Proper noun	tr	the island	ces	Fårö
eng	Fårö	Proper noun	tr	the island	dan	Fårö
eng	Fårö	Proper noun	tr	the island	deu	Fårö
eng	Fårö	Proper noun	tr	the island	epo	Fårö
eng	Fårö	Proper noun	tr	the island	est	Fårö
eng	Fårö	Proper noun	tr	the island	eus	Fårö
eng	Fårö	Proper noun	tr	the island	fra	Fårö
eng	Fårö	Proper noun	tr	the island	gmq-gut	Faroy
eng	Fårö	Proper noun	tr	the island	por	Fårö
eng	Fårö	Proper noun	tr	the island	spa	Fårö
eng	Fårö	Proper noun	tr	the island	swe	Fårö
