	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Führer	Noun	tr	Adolf Hitler when chancellor	ara	دَلِيل	m
eng	Führer	Noun	tr	Adolf Hitler when chancellor	ara	فِيرَر	m
eng	Führer	Noun	tr	Adolf Hitler when chancellor	cmn	元首	tr=yuánshǒu	sc=Hani
eng	Führer	Noun	tr	Adolf Hitler when chancellor	dan	Føreren
eng	Führer	Noun	tr	Adolf Hitler when chancellor	deu	Führer	m
eng	Führer	Noun	tr	Adolf Hitler when chancellor	ell	Φύρερ	m
eng	Führer	Noun	tr	Adolf Hitler when chancellor	est	füürer
eng	Führer	Noun	tr	Adolf Hitler when chancellor	fas	پیشوا	tr=pišvā	sc=fa-Arab
eng	Führer	Noun	tr	Adolf Hitler when chancellor	fra	Führer	m
eng	Führer	Noun	tr	Adolf Hitler when chancellor	hye	ֆյուրեր
eng	Führer	Noun	tr	Adolf Hitler when chancellor	jpn	フューレル	tr=fyūreru
eng	Führer	Noun	tr	Adolf Hitler when chancellor	jpn	総統	tr=そうとう, sōtō
eng	Führer	Noun	tr	Adolf Hitler when chancellor	kat	ფიურერი
eng	Führer	Noun	tr	Adolf Hitler when chancellor	kor	총통
eng	Führer	Noun	tr	Adolf Hitler when chancellor	kor	퓌러
eng	Führer	Noun	tr	Adolf Hitler when chancellor	mkd	фирер	m
eng	Führer	Noun	tr	Adolf Hitler when chancellor	por	führer	m
eng	Führer	Noun	tr	Adolf Hitler when chancellor	rus	фю́рер	m	tr=fjúrɛr
eng	Führer	Noun	tr	Adolf Hitler when chancellor	swe	Führern	c
eng	Führer	Noun	tr	Adolf Hitler when chancellor	vie	Quốc trưởng
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	ara	دَلِيل	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	ara	فِيرَر	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	bel	фю́рар	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	bel	фю́рэр	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	bul	фю́рер	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	cmn	元首	tr=yuánshǒu	sc=Hani
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	cmn	富勒尔	tr=Fùlēi'ěr	sc=Hani
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	cmn	富勒爾	sc=Hani
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	cmn	領袖	sc=Hani
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	cmn	领袖	tr=lǐngxiù	sc=Hani
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	ell	Φύρερ	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	est	füürer
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	fas	پیشوا	tr=pišvā	sc=fa-Arab
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	fra	Führer	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	hbs	fírer	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	hbs	фи́рер	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	heb	פִיהְרֶר	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	hye	ֆյուրեր
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	jpn	フューレル	tr=fyūreru
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	kat	ფიურერი
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	kor	퓌러
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	mkd	фирер	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	nob	fører	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	nob	führer	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	por	führer	m
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	rus	фю́рер	m	tr=fjúrɛr
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	swe	führer	c
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	tha	ฟือเรอร์
eng	Führer	Noun	tr	leader exercising the powers of a tyrant	ukr	фю́рер	m
