	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	ara	مَجْمُوعَة 20
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	ara	مَجْمُوعَة اَلْعِشْرِين	f
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	cmn	20国集团	tr=20 guó jítuán	sc=Hani
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	cmn	20國集團	sc=Hani
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	cmn	二十国集团	tr=èrshí guó jítuán	sc=Hani
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	cmn	二十國集團	sc=Hani
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	deu	Gruppe der Zwanzig	f
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	fas	گروه ۲۰	tr=goruh-e bist
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	fin	G20
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	fra	Groupe des Vingt	f
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	jpn	主要２０ヶ国	tr=しゅよう２０かこく, shuyō 20 kakoku
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	jpn	主要二十ヶ国	tr=しゅようにじゅうかこく, shuyō nijū kakoku
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	kat	დიდი ოცეული
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	por	Grupo dos Vinte	m
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	rus	Больша́я двадца́тка	f
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	rus	Гру́ппа двадцати́	f
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	spa	G20	m
eng	G20	Proper noun	tr	group of finance ministers and central bank governors from 20 economies	spa	grupo de los veinte	m
