	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	GFY	Phrase	tr	Go fuck yourself	dan	knep dig selv
eng	GFY	Phrase	tr	Go fuck yourself	fra	va te faire foutre
eng	GFY	Phrase	tr	Go fuck yourself	ltz	géi féck dech
eng	GFY	Phrase	tr	Go fuck yourself	pol	idź się jebać
eng	GFY	Phrase	tr	Go fuck yourself	pol	pierdol się
eng	GFY	Phrase	tr	Go fuck yourself	por	vsf
eng	GFY	Phrase	tr	Good for you	deu	schön für dich
eng	GFY	Phrase	tr	Good for you	fra	bon pour toi
eng	GFY	Phrase	tr	Good for you	ltz	gutt fir dech
eng	GFY	Phrase	tr	Good for you	por	sorte sua
eng	GFY	Phrase	tr	Good for you	spa	bien por ti
