	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	cat	ghanès
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	ces	ghanský
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	dan	ghanesisk
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	deu	ghanaisch
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	ell	γκανέζικη	f
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	ell	γκανέζικο	n
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	ell	γκανέζικος	m
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	fin	ghanalainen
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	fra	ghanéen
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	glg	ghanés
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	hun	ghánai
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	isl	ganverskur
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	ita	ghanese
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	nld	Ghanees
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	nno	ghanesisk
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	nob	ghanesisk
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	por	ganês
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	ron	ghanez
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	rus	га́нский
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	spa	ghanés
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	swa	Kighana
eng	Ghanaian	Adjective	tr	of, from, or pertaining to Ghana or the Ghanaian people	swe	ghanansk
eng	Ghanaianize	Verb	tr	to make Ghanaian	epo	ganaigi
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	cat	ghanès
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	ces	Ghaňan	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	dan	ghaneser	c
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	deu	Ghanaerin	f
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	deu	Ghanaer	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	ell	Γκανέζα	f
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	ell	Γκανέζος	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	epo	ganaanino	f
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	epo	ganaano	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	fin	ghanalainen
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	fra	Ghanéen
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	fra	Ghanéenne	f
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	glg	ghanés	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	hun	ghánai
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	hye	գանացի
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	isl	Ganverjar	m-p
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	isl	Ganverji	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	ita	ghanese	c
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	ita	ghanesi	c-p
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	nld	Ghanees	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	nld	Ghanese	f
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	nno	ghanesar	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	nob	ghaneser	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	por	ganês	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	ron	ghaneză	f
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	ron	ghanez	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	rus	га́нец	m
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	spa	ghanés
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	swa	Mghana
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	swe	ghanan	c
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	swe	ghananska	c
eng	Ghanaian	Noun	tr	person from Ghana or of Ghanaian descent	tur	Ganalı
eng	Ghana	Proper noun	tr	The Republic of Ghana	afr	Ghana
eng	Ghana	Proper noun	tr	The Republic of Ghana	amh	ጋና
eng	Ghana	Proper noun	tr	The Republic of Ghana	ara	غَانَا	f
eng	Ghana	Proper noun	tr	The Republic of Ghana	bel	Га́на	f
eng	Ghana	Proper noun	tr	The Republic of Ghana	ben	ঘানা
eng	Ghana	Proper noun	tr	The Republic of Ghana	bre	Ghana
