	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	GPL	Proper noun	tr		deu	Prägermanisch	n
eng	GPS	Noun	tr	Global Positioning System	cmn	全球定位系統	sc=Hani
eng	GPS	Noun	tr	Global Positioning System	cmn	全球定位系统	tr=quánqiú dìngwèi xìtǒng	sc=Hani
eng	GPS	Noun	tr	Global Positioning System	dan	GPS	c
eng	GPS	Noun	tr	Global Positioning System	deu	GPS	n
eng	GPS	Noun	tr	Global Positioning System	epo	tutmonda loktrova sistemo
eng	GPS	Noun	tr	Global Positioning System	fin	GPS
eng	GPS	Noun	tr	Global Positioning System	fra	GPS	m
eng	GPS	Noun	tr	Global Positioning System	glg	GPS	m
eng	GPS	Noun	tr	Global Positioning System	mri	PKT
eng	GPS	Noun	tr	Global Positioning System	mri	pūnaha kimi taunga
eng	GPS	Noun	tr	Global Positioning System	nob	GPS	m
eng	GPS	Noun	tr	Global Positioning System	pol	GPS	m
eng	GPS	Noun	tr	Global Positioning System	por	GPS	m
eng	GPS	Noun	tr	Global Positioning System	spa	GPS	m
eng	GPS	Noun	tr	Global Positioning System	swe	GPS
eng	GPS	Noun	tr	Global Positioning System	tha	จีพีเอส
eng	GPS	Noun	tr	Global Positioning System	wln	cir-moennaedje	m
eng	GPS	Noun	tr	Global Positioning System	wln	mostere-voye	m
eng	GPS receiver	Noun	tr	GPS receiver	deu	Navigationsgerät	n
eng	GPS receiver	Noun	tr	GPS receiver	deu	Navi	n
eng	GPS receiver	Noun	tr	GPS receiver	epo	birilo
eng	GPS receiver	Noun	tr	GPS receiver	gla	inneal-GPS	m
eng	GPS receiver	Noun	tr	GPS receiver	glg	GPS	m
eng	GPS receiver	Noun	tr	GPS receiver	glg	navegador GPS	m
eng	GPS receiver	Noun	tr	GPS receiver	ita	navigatore satellitare	m
eng	GPS receiver	Noun	tr	GPS receiver	pol	nawigacja	f
eng	GPS receiver	Noun	tr	GPS receiver	spa	GPS	m
eng	GPS receiver	Noun	tr	GPS receiver	spa	navegador GPS	m
eng	GPU	Proper noun	tr	State Political Directorate	cmn	格柏烏	tr=Gébówū
eng	GPU	Proper noun	tr	State Political Directorate	fra	Guépéou	f
eng	GPU	Proper noun	tr	State Political Directorate	rus	ГПУ
