	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Gzhelian	Proper noun	tr		cat	Gzhelià
eng	Gzhelian	Proper noun	tr		deu	Gzhelium
eng	Gzhelian	Proper noun	tr		fin	Gžel-kausi
eng	Gzhelian	Proper noun	tr		fra	Gzhélien
eng	Gzhelian	Proper noun	tr		hun	Gzseli
eng	Gzhelian	Proper noun	tr		ita	Gzheliano
eng	Gzhelian	Proper noun	tr		nld	Gzhelien
eng	Gzhelian	Proper noun	tr		pol	gżel	m-in
eng	Gzhelian	Proper noun	tr		rus	гже́льский	m
eng	Gzhelian	Proper noun	tr		spa	Gzheliano
