	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Gdańsk	Proper noun	tr	city of Poland	ara	غْدَانْسْك	m
eng	Gdańsk	Proper noun	tr	city of Poland	bel	Гданьск	m
eng	Gdańsk	Proper noun	tr	city of Poland	bul	Гданск	m
eng	Gdańsk	Proper noun	tr	city of Poland	ces	Gdaňsk	m
eng	Gdańsk	Proper noun	tr	city of Poland	cmn	格但斯克	tr=Gédànsīkè
eng	Gdańsk	Proper noun	tr	city of Poland	csb	Gduńsk	m
eng	Gdańsk	Proper noun	tr	city of Poland	dan	Danzig
eng	Gdańsk	Proper noun	tr	city of Poland	dan	Gdansk
eng	Gdańsk	Proper noun	tr	city of Poland	deu	Danzig	n
eng	Gdańsk	Proper noun	tr	city of Poland	deu	Gdańsk	n
eng	Gdańsk	Proper noun	tr	city of Poland	ell	Γκντανσκ	n
eng	Gdańsk	Proper noun	tr	city of Poland	ell	Ντάντσιχ	n
eng	Gdańsk	Proper noun	tr	city of Poland	epo	Dancigo
eng	Gdańsk	Proper noun	tr	city of Poland	fas	گدانسک	tr=gdânsk
eng	Gdańsk	Proper noun	tr	city of Poland	fin	Gdansk
eng	Gdańsk	Proper noun	tr	city of Poland	fra	Dantzick	m
eng	Gdańsk	Proper noun	tr	city of Poland	fra	Dantzig	m
eng	Gdańsk	Proper noun	tr	city of Poland	fra	Gdańsk	m
eng	Gdańsk	Proper noun	tr	city of Poland	gmw-ecg	Danzich	n
eng	Gdańsk	Proper noun	tr	city of Poland	hbs	Gdanjsk	m
eng	Gdańsk	Proper noun	tr	city of Poland	hbs	Гдањск	m
eng	Gdańsk	Proper noun	tr	city of Poland	heb	גדנסק	m
eng	Gdańsk	Proper noun	tr	city of Poland	hun	Dancka
eng	Gdańsk	Proper noun	tr	city of Poland	hun	Gdańsk
eng	Gdańsk	Proper noun	tr	city of Poland	hye	Գդանսկ
eng	Gdańsk	Proper noun	tr	city of Poland	hye	Դանցիգ
eng	Gdańsk	Proper noun	tr	city of Poland	ita	Danzica	f
eng	Gdańsk	Proper noun	tr	city of Poland	jpn	グダニスク	tr=Gudanisuku
eng	Gdańsk	Proper noun	tr	city of Poland	kat	გდანსკი
eng	Gdańsk	Proper noun	tr	city of Poland	kor	^그단스크
eng	Gdańsk	Proper noun	tr	city of Poland	lat	Dantiscum	n
eng	Gdańsk	Proper noun	tr	city of Poland	lat	Gedania	f
eng	Gdańsk	Proper noun	tr	city of Poland	lat	Gedanum	n
eng	Gdańsk	Proper noun	tr	city of Poland	lav	Gdaņska
eng	Gdańsk	Proper noun	tr	city of Poland	lit	Gdanskas
eng	Gdańsk	Proper noun	tr	city of Poland	mkd	Гдањск	m
eng	Gdańsk	Proper noun	tr	city of Poland	nds-de	Danzig	n
eng	Gdańsk	Proper noun	tr	city of Poland	nld	Gdańsk	n
eng	Gdańsk	Proper noun	tr	city of Poland	nno	Gdańsk	n
eng	Gdańsk	Proper noun	tr	city of Poland	nob	Gdańsk	n
eng	Gdańsk	Proper noun	tr	city of Poland	pol	Gdańsk	m
eng	Gdańsk	Proper noun	tr	city of Poland	por	Danzig	f
eng	Gdańsk	Proper noun	tr	city of Poland	por	Danzigue	f
eng	Gdańsk	Proper noun	tr	city of Poland	por	Gdansk	f
eng	Gdańsk	Proper noun	tr	city of Poland	ron	Gdansk	n
eng	Gdańsk	Proper noun	tr	city of Poland	ron	Gdańsk	n
eng	Gdańsk	Proper noun	tr	city of Poland	rus	Гданьск	m
eng	Gdańsk	Proper noun	tr	city of Poland	slk	Gdansk	m
eng	Gdańsk	Proper noun	tr	city of Poland	slv	Gdansk	m-in
eng	Gdańsk	Proper noun	tr	city of Poland	spa	Dánzig
eng	Gdańsk	Proper noun	tr	city of Poland	spa	Gdansk	m
eng	Gdańsk	Proper noun	tr	city of Poland	sqi	Dancigu
eng	Gdańsk	Proper noun	tr	city of Poland	swe	Danzig	n
eng	Gdańsk	Proper noun	tr	city of Poland	swe	Gdańsk	n
eng	Gdańsk	Proper noun	tr	city of Poland	ukr	Гданськ	m
eng	Gdańsk	Proper noun	tr	city of Poland	yid	דאַנץ
eng	Gdynian	Adjective	tr	from Gdynia	pol	gdyński
eng	Gdynia	Proper noun	tr	city	ces	Gdyně	f
eng	Gdynia	Proper noun	tr	city	csb	Gdiniô
eng	Gdynia	Proper noun	tr	city	deu	Gdingen
eng	Gdynia	Proper noun	tr	city	deu	Gotenhafen
eng	Gdynia	Proper noun	tr	city	pol	Gdynia	f
eng	Gdynia	Proper noun	tr	city	slk	Gdynia	f
