	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	ara	غْوَادَالَاخَارَا	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	ast	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	aze	Quadalaxara
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	bul	Гуадалаха́ра	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	cat	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	cmn	瓜达拉哈拉	tr=Guādálāhālā
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	cmn	瓜達拉哈拉
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	ell	Γκουανταλαχάρα	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	ell	Γουαδαλαχάρα	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	epo	Gvadalaharo
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	fas	گوادالاخارا	tr=Govâdâlâxârâ
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	fin	Guadalajara
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	fra	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	glg	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	glg	Guadalaxara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	hbs	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	hbs	Гвадалаха	f	alt=Гвадалахара
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	heb	גְוִָדָלָחָרָה	f	tr=Gvadalakhára
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	hin	ग्वाडलहारा	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	hin	ग्वादालाहारा	m
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	hun	Guadalajara
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	hye	Գվադալախարա
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	jpn	グアダラハラ	tr=Guadarahara
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	kat	გვადალახარა
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	kor	^과달라하라
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	lat	Guadalaxara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	lav	Gvadalahara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	lit	Gvadalachara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	mal	ഗ്വാഡലഹാര
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	mar	ग्वादालाहारा	n
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	nah	Ātemaxac
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	oss	Гвадалахарӕ
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	pan	ਗੁਆਦਾਲਾਹਾਰਾ	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	por	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	rus	Гвадалаха́ра	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	spa	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	tam	குவாதலஹாரா
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	tha	กวาดาลาฮารา	tr=gwaa-daa-laa-haa-raa
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	ukr	Гвадалаха́ра	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	ukr	Ґвадалаха́ра	f
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	urd	گواڈلہارا	f	tr=Gvāḍalahārā
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	uzb	Gvadalahara
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	vep	Gvadalahar
eng	Guadalajara	Proper noun	tr	city in Jalisco, Mexico	yue	瓜達拉哈拉	tr=gwaa1 daat6 laai1 haa1 laai1
eng	Guadalajara	Proper noun	tr	city in Spain	ara	مَدِينَة الْفَرَج	f
eng	Guadalajara	Proper noun	tr	city in Spain	ara	وَادِي الْحِجَارَة	m
eng	Guadalajara	Proper noun	tr	city in Spain	arg	Guadalachara	f
eng	Guadalajara	Proper noun	tr	city in Spain	ast	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Spain	ast	Guadalaxara	f
eng	Guadalajara	Proper noun	tr	city in Spain	aze	Qvadalaxara
eng	Guadalajara	Proper noun	tr	city in Spain	bul	Гуадалаха́ра	f
eng	Guadalajara	Proper noun	tr	city in Spain	cat	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Spain	cmn	瓜达拉哈拉	tr=Guādálāhālā
eng	Guadalajara	Proper noun	tr	city in Spain	cmn	瓜達拉哈拉
eng	Guadalajara	Proper noun	tr	city in Spain	ell	Γκουανταλαχάρα	f
eng	Guadalajara	Proper noun	tr	city in Spain	ell	Γουαδαλαχάρα	f
eng	Guadalajara	Proper noun	tr	city in Spain	epo	Guadalaĥaro
eng	Guadalajara	Proper noun	tr	city in Spain	epo	Gvadalaharo
eng	Guadalajara	Proper noun	tr	city in Spain	fas	گوادالاخارا	tr=Govâdâlâxârâ
eng	Guadalajara	Proper noun	tr	city in Spain	fin	Guadalajara
eng	Guadalajara	Proper noun	tr	city in Spain	fra	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Spain	glg	Guadalaxara	f
eng	Guadalajara	Proper noun	tr	city in Spain	hbs	Guadalajara	f
eng	Guadalajara	Proper noun	tr	city in Spain	hbs	Гвадалахара	f
eng	Guadalajara	Proper noun	tr	city in Spain	heb	גְוִָדָלָחָרָה	f	tr=Gvadalakhára
eng	Guadalajara	Proper noun	tr	city in Spain	hin	ग्वादालाहारा	m
eng	Guadalajara	Proper noun	tr	city in Spain	hun	Guadalajara
eng	Guadalajara	Proper noun	tr	city in Spain	hye	Գուադալախարա
eng	Guadalajara	Proper noun	tr	city in Spain	jpn	グアダラハーラ	tr=Guadarahāra
eng	Guadalajara	Proper noun	tr	city in Spain	jpn	グアダラハラ	tr=Guadarahara
eng	Guadalajara	Proper noun	tr	city in Spain	kat	გვადალახარა
eng	Guadalajara	Proper noun	tr	city in Spain	kor	^과달라하라
eng	Guadalajara	Proper noun	tr	city in Spain	lat	Fluvius Lapidum	m
eng	Guadalajara	Proper noun	tr	city in Spain	lat	Guadalaxara	f
eng	Guadalajara	Proper noun	tr	city in Spain	lav	Gvadalahara	f
eng	Guadalajara	Proper noun	tr	city in Spain	lit	Gvadalachara	f
eng	Guadalajara	Proper noun	tr	city in Spain	mar	ग्वादालाहारा	n
eng	Guadalajara	Proper noun	tr	city in Spain	mxi	ואד אל חגארה	tr=wad al ḥaŷāra
eng	Guadalajara	Proper noun	tr	city in Spain	oss	Гвадалахарӕ
