	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Gödel number	Noun	tr	number uniquely assigned to each symbol	cat	nombre de Gödel	m
eng	Gödel number	Noun	tr	number uniquely assigned to each symbol	deu	Gödelnummer	f
eng	Gödel number	Noun	tr	number uniquely assigned to each symbol	fra	numéro de Gödel	m
eng	Gödel number	Noun	tr	number uniquely assigned to each symbol	ita	numero di Gödel	m
eng	Gödel number	Noun	tr	number uniquely assigned to each symbol	por	número de Gödel	m
eng	Gödel number	Noun	tr	number uniquely assigned to each symbol	spa	número de Gödel	m
eng	Gödel number	Noun	tr	number uniquely assigned to each symbol	swe	Gödeltal	n
eng	Gödel's incompleteness theorem	Proper noun	tr	theorem	deu	Gödelscher Unvollständigkeitssatz	m
eng	Gödel's incompleteness theorem	Proper noun	tr	theorem	est	Gödeli mittetäielikkuse teoreem
eng	Gödel's incompleteness theorem	Proper noun	tr	theorem	fin	Gödelin epätäydellisyyslause
eng	Gödel's incompleteness theorem	Proper noun	tr	theorem	fra	théorème d'incomplétude de Gödel
eng	Gödel's incompleteness theorem	Proper noun	tr	theorem	isl	ófullkomleikasetning Gödels	f
eng	Görlitz	Proper noun	tr	city in Saxony, Germany	ces	Zhořelec	m
eng	Görlitz	Proper noun	tr	city in Saxony, Germany	deu	Görlitz	n
eng	Görlitz	Proper noun	tr	city in Saxony, Germany	dsb	Zgórjelc	m
eng	Görlitz	Proper noun	tr	city in Saxony, Germany	hsb	Zhorjelc	m
eng	Görlitz	Proper noun	tr	city in Saxony, Germany	pol	Zgorzelec	m
eng	Görlitz	Proper noun	tr	city in Saxony, Germany	rus	Гёрлиц	m
eng	Görlitz	Proper noun	tr	city in Saxony, Germany	slk	Görlitz	m
eng	Görlitz	Proper noun	tr	city in Saxony, Germany	slk	Zhorelec	m
eng	Görlitz	Proper noun	tr	city in Saxony, Germany	szl	Gorlice
eng	Göygöl	Proper noun	tr	lake	aze	Göygöl
eng	Göygöl	Proper noun	tr	lake	hye	Գյոյգյոլ	sc=Armn
eng	Göygöl	Proper noun	tr	lake	kat	გოიგოლი	sc=Geor
eng	Göygöl	Proper noun	tr	lake	rus	Гёйгёль
