	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	haapalaite	Noun	tr	mineral	fin	haapalaiitti
eng	Haapsalu	Proper noun	tr	town	ces	Haapsalu
eng	Haapsalu	Proper noun	tr	town	dan	Haapsalu
eng	Haapsalu	Proper noun	tr	town	est	Haapsalu
eng	Haapsalu	Proper noun	tr	town	fin	Haapsalu
eng	Haapsalu	Proper noun	tr	town	fra	Haapsalu
eng	Haapsalu	Proper noun	tr	town	hun	Haapsalu
eng	Haapsalu	Proper noun	tr	town	ita	Haapsalu
eng	Haapsalu	Proper noun	tr	town	lav	Hāpsalu
eng	Haapsalu	Proper noun	tr	town	lit	Haapsalu
eng	Haapsalu	Proper noun	tr	town	nld	Haapsalu
eng	Haapsalu	Proper noun	tr	town	nob	Haapsalu
eng	Haapsalu	Proper noun	tr	town	pol	Haapsalu
eng	Haapsalu	Proper noun	tr	town	por	Haapsalu	f
eng	Haapsalu	Proper noun	tr	town	ron	Haapsalu
eng	Haapsalu	Proper noun	tr	town	rus	Хаапсалу
eng	Haapsalu	Proper noun	tr	town	spa	Haapsalu
eng	Haapsalu	Proper noun	tr	town	vro	Haapsalo
eng	Haarlemer	Noun	tr	person from Haarlem	nld	Haarlemmer	m
eng	Haarlem	Proper noun	tr	city in North Holland	cmn	哈勒姆	tr=hālèmǔ	sc=Hani
eng	Haarlem	Proper noun	tr	city in North Holland	deu	Haarlem
eng	Haarlem	Proper noun	tr	city in North Holland	epo	Harlemo
eng	Haarlem	Proper noun	tr	city in North Holland	fra	Haarlem
eng	Haarlem	Proper noun	tr	city in North Holland	fra	Harlem
eng	Haarlem	Proper noun	tr	city in North Holland	frm	Herlem
eng	Haarlem	Proper noun	tr	city in North Holland	ita	Haarlem
eng	Haarlem	Proper noun	tr	city in North Holland	nld	Haarlem
eng	Haarlem	Proper noun	tr	city in North Holland	por	Haarlem	f
eng	Haarlem	Proper noun	tr	city in North Holland	rus	Ха́рлем
eng	Haarlem	Proper noun	tr	city in North Holland	spa	Haarlem
eng	Haast's eagle	Noun	tr	An extinct giant eagle	deu	Haastadler	m
eng	Haast's eagle	Noun	tr	An extinct giant eagle	ita	aquila di Haast	f
eng	Haast's eagle	Noun	tr	An extinct giant eagle	rus	орёл Ха́аста	m
eng	Habakkuk	Proper noun	tr	book of the Bible	afr	Habakuk
eng	Habakkuk	Proper noun	tr	book of the Bible	bre	Havakouk	m
eng	Habakkuk	Proper noun	tr	book of the Bible	bul	Авакумъ
eng	Habakkuk	Proper noun	tr	book of the Bible	cat	Habacuc
eng	Habakkuk	Proper noun	tr	book of the Bible	cdo	哈巴谷書	tr=Hăk-bă-gók-cṳ̆
eng	Habakkuk	Proper noun	tr	book of the Bible	ceb	Habacuc
eng	Habakkuk	Proper noun	tr	book of the Bible	ces	Abakuk
eng	Habakkuk	Proper noun	tr	book of the Bible	cmn	哈巴谷书	tr=Hābāgǔshū
eng	Habakkuk	Proper noun	tr	book of the Bible	cmn	哈巴谷書
eng	Habakkuk	Proper noun	tr	book of the Bible	cos	Habacuc
eng	Habakkuk	Proper noun	tr	book of the Bible	cym	Habacuc	m
eng	Habakkuk	Proper noun	tr	book of the Bible	dan	Habakkuk
eng	Habakkuk	Proper noun	tr	book of the Bible	deu	Habakuk	m
eng	Habakkuk	Proper noun	tr	book of the Bible	ell	Αββακούμ	
eng	Habakkuk	Proper noun	tr	book of the Bible	est	Habakuk
eng	Habakkuk	Proper noun	tr	book of the Bible	eus	Habakuk
eng	Habakkuk	Proper noun	tr	book of the Bible	fas	حبقوق		tr=habaqquq
eng	Habakkuk	Proper noun	tr	book of the Bible	fin	Habakukin kirja
eng	Habakkuk	Proper noun	tr	book of the Bible	fra	Habacuc
eng	Habakkuk	Proper noun	tr	book of the Bible	fra	Habaquq
