	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Hibernian	Adjective	tr	Irish	bul	ирландски
eng	Hibernian	Noun	tr	An Irish person	bul	ирландец	m
eng	Hidalgo	Proper noun	tr	state of Mexico	mar	हिदाल्गो	n
eng	Hidalgo	Proper noun	tr	state of Mexico	spa	Hidalgo	m
eng	Hidatsa	Noun	tr		cro	Awashée
eng	Hidatsa	Noun	tr		hid	híraaca
eng	Hieroglyphic Luwian	Adjective	tr	of or pertaining to the Hieroglyphic Luwian language	hye	հիերոգլիֆյան լուվիերեն
eng	Hieroglyphic Luwian	Adjective	tr	of or pertaining to the Hieroglyphic Luwian language	rus	иероглифи́ческий луви́йский
eng	Hieroglyphic Luwian	Proper noun	tr	language	hye	հիերոգլիֆյան լուվիերեն
eng	Hieroglyphic Luwian	Proper noun	tr	language	rus	иероглифи́ческий луви́йский
eng	Hieronymus	Proper noun	tr	male given name	cat	Jeroni	m
eng	Hieronymus	Proper noun	tr	male given name	cat	Jerònim	m
eng	Hieronymus	Proper noun	tr	male given name	cym	Sierôm	m
eng	Hieronymus	Proper noun	tr	male given name	deu	Hieronymus	m
eng	Hieronymus	Proper noun	tr	male given name	fra	Gérôme
eng	Hieronymus	Proper noun	tr	male given name	fra	Jérôme	m
eng	Hieronymus	Proper noun	tr	male given name	gle	Iaróm	m
eng	Hieronymus	Proper noun	tr	male given name	glg	Xerónimo	m
eng	Hieronymus	Proper noun	tr	male given name	ita	Geronimo	m
eng	Hieronymus	Proper noun	tr	male given name	oci	Giròni	m
eng	Hieronymus	Proper noun	tr	male given name	pol	Hieronim	m
eng	Hieronymus	Proper noun	tr	male given name	por	Jerónimo	m
eng	Hieronymus	Proper noun	tr	male given name	por	Jerônimo	m
eng	Hieronymus	Proper noun	tr	male given name	rus	Иеро́ним	m
eng	Hieronymus	Proper noun	tr	male given name	spa	Hierónimo	m
eng	Hieronymus	Proper noun	tr	male given name	spa	Jerónimo	m
eng	Higgs boson	Noun	tr	elementary particle	cat	bosó de Higgs
eng	Higgs boson	Noun	tr	elementary particle	ces	Higgsův boson	m
eng	Higgs boson	Noun	tr	elementary particle	cmn	希格斯玻色子	tr=Xīgésī bōsèzi	sc=Hani
eng	Higgs boson	Noun	tr	elementary particle	deu	Higgs-Boson	n
eng	Higgs boson	Noun	tr	elementary particle	deu	Higgs-Teilchen	n
eng	Higgs boson	Noun	tr	elementary particle	ell	μποζόνιο Χιγκς	n
eng	Higgs boson	Noun	tr	elementary particle	fin	Higgsin bosoni
eng	Higgs boson	Noun	tr	elementary particle	fra	boson de Higgs	m
