	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	ara	أُرِيد أَن أُقَبِّلَك
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	ara	أُرِيد أَن أُقَبِّلِك
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	ces	chtěla bych tě líbat	f
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	ces	chtěl bych tě líbat	m
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	cmn	我想吻你	tr=wǒ xiǎng wěn nǐ	sc=Hani
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	dan	jeg vil gerne kysse dig
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	deu	ich möchte dich küssen
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	fin	haluaisin suudella sinua
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	fra	je voudrais t'embrasser
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	fra	je voudrais vous embrasser
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	glg	gostaríame bicarte
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	hbs	voleo bih da te poljubim
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	hin	मैं तुम्हें चूमना चाहता हूँ
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	hun	megcsókolhatlak?
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	hun	meg szeretnélek csókolni
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	hun	szeretnélek megcsókolni
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	hun	szívesen megcsókolnálak
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	hye	արի պաչեմ
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	jpn	私はあなたにキスしたいのです	tr=watashi wa anata ni kisu shitai no desu
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	nld	ik wil je kussen
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	nld	ik wil je zoenen
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	nor	jeg kunne tenke meg å kysse deg
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	nor	jeg ønsker å kysse deg
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	oji	giwii-ojiimin
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	pol	chciałbym ciebie pocałować
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	por	eu gostaria de beijar-te
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	por	eu gostaria de beijar você
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	por	eu gostaria de te beijar
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	por	gostaria de beijar-te
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	por	gostaria de beijar você
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	por	gostaria de te beijar
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	ron	aș dori să te să te pup
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	ron	aș dori să te să te sărut
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	rus	я хоте́л бы вас поцелова́ть
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	rus	я хоте́л бы тебя́ поцелова́ть
eng	I'd like to kiss you	Phrase	tr	I'd like to kiss you	spa	me gustaría besarle
