	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	IEC	Proper noun	tr	initialism of ''International Electrotechnical Commission''	fra	CEI	f
eng	IEC	Proper noun	tr	initialism of ''International Electrotechnical Commission''	tur	UEK
eng	IED	Noun	tr		cmn	土制炸弹	tr=tǔzhì zhàdàn
eng	IED	Noun	tr		cmn	土製炸彈
eng	IED	Noun	tr		cmn	应急爆炸装置	tr=yìngjí bàozhà zhuāngzhì
eng	IED	Noun	tr		cmn	應急爆炸裝置
eng	IED	Noun	tr		cmn	简易爆炸装置	tr=jiǎnyì bàozhà zhuāngzhì	sc=Hani
eng	IED	Noun	tr		cmn	簡易爆炸裝置	sc=Hani
eng	IED	Noun	tr		deu	USBV	f
eng	IED	Noun	tr		fra	EEI	m
eng	IED	Noun	tr		fra	IED	m
eng	IED	Noun	tr		pol	ajdik	m
eng	IED	Noun	tr		pol	fugas	m
eng	IED	Noun	tr		rus	СВУ	n
eng	IELTS	Proper noun	tr	International English Language Testing System	cmn	国际英语测试系统	tr=Guójì Yīngyǔ Cèshì Xìtǒng	sc=Hani
eng	IELTS	Proper noun	tr	International English Language Testing System	cmn	國際英語測試系統	sc=Hani
eng	IELTS	Proper noun	tr	International English Language Testing System	cmn	雅思	tr=Yǎsī	sc=Hani
eng	IELTS	Proper noun	tr	International English Language Testing System	fin	IELTS
