	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	IFAD	Proper noun	tr	International Fund for Agricultural Development	hye	ԳԶՄՀ
eng	IFAD	Proper noun	tr	International Fund for Agricultural Development	rus	МФСР
eng	if and only if	Conjunction	tr	implies and is implied by	ara	شَرْطَ أَنّ
eng	if and only if	Conjunction	tr	implies and is implied by	ara	شَرِيطَةً أَنَّ
eng	if and only if	Conjunction	tr	implies and is implied by	ara	فَقَط إِذَا
eng	if and only if	Conjunction	tr	implies and is implied by	ara	فَقَط فِي حَالَة
eng	if and only if	Conjunction	tr	implies and is implied by	arz	بس لو	tr=bass law	sc=Arab
eng	if and only if	Conjunction	tr	implies and is implied by	arz	بشرط إن	tr=bešarṭ ʾenn	sc=Arab
eng	if and only if	Conjunction	tr	implies and is implied by	cat	si i només si
eng	if and only if	Conjunction	tr	implies and is implied by	ces	právě tehdy, když
eng	if and only if	Conjunction	tr	implies and is implied by	cmn	当且仅当	tr=dāngqiějǐndāng	sc=Hani
eng	if and only if	Conjunction	tr	implies and is implied by	cmn	當且僅當	sc=Hani
eng	if and only if	Conjunction	tr	implies and is implied by	cmn	若且唯若	tr=ruòqiěwéiruò	sc=Hani
eng	if and only if	Conjunction	tr	implies and is implied by	dan	hvis og kun hvis
eng	if and only if	Conjunction	tr	implies and is implied by	deu	dann und nur dann, wenn
eng	if and only if	Conjunction	tr	implies and is implied by	deu	genau dann, wenn
eng	if and only if	Conjunction	tr	implies and is implied by	ell	αν και μόνο αν
eng	if and only if	Conjunction	tr	implies and is implied by	epo	se kaj nur se
eng	if and only if	Conjunction	tr	implies and is implied by	eus	baldin eta soilik baldin
eng	if and only if	Conjunction	tr	implies and is implied by	fas	اگر و فقط اگر	tr=agar va faqat agar	sc=fa-Arab
eng	if and only if	Conjunction	tr	implies and is implied by	fin	jos ja vain jos
eng	if and only if	Conjunction	tr	implies and is implied by	fra	si et seulement si
eng	if and only if	Conjunction	tr	implies and is implied by	gle	is gá agus is leor
eng	if and only if	Conjunction	tr	implies and is implied by	heb	אם ורק אם	tr=im ve-rak im
eng	if and only if	Conjunction	tr	implies and is implied by	hun	akkor és csakis akkor, ha
eng	if and only if	Conjunction	tr	implies and is implied by	isl	ef og aðeins ef
eng	if and only if	Conjunction	tr	implies and is implied by	isl	þá og því aðeins að
eng	if and only if	Conjunction	tr	implies and is implied by	ita	se e solo se
eng	if and only if	Conjunction	tr	implies and is implied by	lit	tada ir tik tada
eng	if and only if	Conjunction	tr	implies and is implied by	nld	als en slechts als
eng	if and only if	Conjunction	tr	implies and is implied by	nld	dan en slechts dan als
eng	if and only if	Conjunction	tr	implies and is implied by	pol	wtedy i tylko wtedy
eng	if and only if	Conjunction	tr	implies and is implied by	por	se e somente se
eng	if and only if	Conjunction	tr	implies and is implied by	ron	dacă și numai dacă
eng	if and only if	Conjunction	tr	implies and is implied by	rus	тогда и только тогда	alt=тогда́ и то́лько тогда́(, когда́ ...)
eng	if and only if	Conjunction	tr	implies and is implied by	slv	če in samo če
eng	if and only if	Conjunction	tr	implies and is implied by	spa	si y sólo si
eng	if and only if	Conjunction	tr	implies and is implied by	swe	om och endast om
eng	if and only if	Conjunction	tr	implies and is implied by	tha	ก็ต่อเมื่อ
eng	if and only if	Conjunction	tr	implies and is implied by	tur	ancak ve ancak
eng	if anything	Adverb	tr		deu	doch eher
eng	if anything	Adverb	tr		deu	eher
eng	if anything	Adverb	tr		deu	eigentlich
eng	if anything	Adverb	tr		deu	überhaupt
eng	if anything	Adverb	tr		deu	wenn überhaupt
eng	if anything	Adverb	tr		fin	jos mitään
eng	if anything	Adverb	tr		fin	pikemminkin
eng	if anything	Adverb	tr		spa	si acaso
eng	if anything	Adverb	tr		swe	om något
eng	if at first you don't succeed, try try again	Proverb	tr		spa	el que la sigue la consigue
eng	if	Conjunction	tr	although; used to introduce a concession	dan	at
eng	if	Conjunction	tr	although; used to introduce a concession	dan	hvis
eng	if	Conjunction	tr	although; used to introduce a concession	dan	om
eng	if	Conjunction	tr	although; used to introduce a concession	deu	wenn auch
eng	if	Conjunction	tr	although; used to introduce a concession	fin	vaikkakin
eng	if	Conjunction	tr	although; used to introduce a concession	hun	bár
eng	if	Conjunction	tr	although; used to introduce a concession	hun	habár
eng	if	Conjunction	tr	although; used to introduce a concession	hun	ha … is
eng	if	Conjunction	tr	although; used to introduce a concession	hun	jóllehet
eng	if	Conjunction	tr	although; used to introduce a concession	hun	még ha … is
eng	if	Conjunction	tr	although; used to introduce a concession	hun	noha
eng	if	Conjunction	tr	although; used to introduce a concession	nob	at
eng	if	Conjunction	tr	although; used to introduce a concession	nob	hvis
eng	if	Conjunction	tr	although; used to introduce a concession	nob	om
eng	if	Conjunction	tr	although; used to introduce a concession	pol	tyle że
eng	if	Conjunction	tr	although; used to introduce a concession	slk	aj keď
eng	if	Conjunction	tr	although; used to introduce a concession	spa	aunque
eng	if	Conjunction	tr	(computing)	dan	hvis
eng	if	Conjunction	tr	(computing)	deu	wenn
eng	if	Conjunction	tr	(computing)	fin	jos
eng	if	Conjunction	tr	(computing)	hun	ha
eng	if	Conjunction	tr	(computing)	ind	jika
eng	if	Conjunction	tr	(computing)	lao	ຜິ
eng	if	Conjunction	tr	(computing)	mkd	ако
eng	if	Conjunction	tr	(computing)	nob	hvis
eng	if	Conjunction	tr	(computing)	pol	jeśli
eng	if	Conjunction	tr	(computing)	pol	jeżeli
eng	if	Conjunction	tr	(computing)	por	se
eng	if	Conjunction	tr	(computing)	rus	е́сли
eng	if	Conjunction	tr	(computing)	slk	ak
eng	if	Conjunction	tr	supposing that	aeb	لو كان	alt=لَوْ كَانْ	tr=law kān	sc=Arab
eng	if	Conjunction	tr	supposing that	afr	as
eng	if	Conjunction	tr	supposing that	afr	indien
eng	if	Conjunction	tr	supposing that	aho	𑜆𑜦𑜡
eng	if	Conjunction	tr	supposing that	akk	𒋳𒈠	tr=šumma
eng	if	Conjunction	tr	supposing that	ang	ġif
eng	if	Conjunction	tr	supposing that	aoz	kalu
eng	if	Conjunction	tr	supposing that	ara	إِنْ
eng	if	Conjunction	tr	supposing that	ara	لَوْ
eng	if	Conjunction	tr	supposing that	arc	אִין	tr=ʾîn
eng	if	Conjunction	tr	supposing that	arc	אִלּוּ	tr=ʾillû
eng	if	Conjunction	tr	supposing that	arc	אֶן	tr=ʾen
eng	if	Conjunction	tr	supposing that	arg	si
eng	if	Conjunction	tr	supposing that	ary	كُن كان	tr=kon kan
eng	if	Conjunction	tr	supposing that	ary	كون كان	tr=kon kan
eng	if	Conjunction	tr	supposing that	arz	إذا	tr=ʾeza	sc=Arab
eng	if	Conjunction	tr	supposing that	arz	إن	tr=in	sc=Arab
eng	if	Conjunction	tr	supposing that	arz	اذا	tr=eza	sc=Arab
eng	if	Conjunction	tr	supposing that	arz	لو	tr=law	sc=Arab
eng	if	Conjunction	tr	supposing that	ast	si
eng	if	Conjunction	tr	supposing that	aze	əgər
eng	if	Conjunction	tr	supposing that	bak	әгәр
eng	if	Conjunction	tr	supposing that	bak	әгәр ҙә
