	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	IUD	Noun	tr	intrauterine device	cat	DIU	m
eng	IUD	Noun	tr	intrauterine device	deu	IUP	n
eng	IUD	Noun	tr	intrauterine device	fra	DIU	m
eng	IUD	Noun	tr	intrauterine device	glg	DIU	m
eng	IUD	Noun	tr	intrauterine device	ita	dispositivo intrauterino	m
eng	IUD	Noun	tr	intrauterine device	ita	DIU	m
eng	IUD	Noun	tr	intrauterine device	ita	IUD
eng	IUD	Noun	tr	intrauterine device	ita	spirale	f
eng	IUD	Noun	tr	intrauterine device	por	DIU	m
eng	IUD	Noun	tr	intrauterine device	spa	DIU	m
eng	Iulianov	Proper noun	tr	surname	rus	Иулианов	m
eng	Iuliyanov	Proper noun	tr	surname	rus	Иулия́нов	m
eng	Iuliyanov	Proper noun	tr	surname	rus	Ю́лиянов	m
eng	IUPAC	Proper noun	tr	International Union of Pure and Applied Chemistry	isl	Alþjóðasamtök um hreina og hagnýta efnafræði	n-p
eng	IU	Proper noun	tr	initialism of word for international unit	dan	IE
mul	ius cogens	Noun	tr	peremptory norm	deu	zwingendes Recht	n
mul	ius cogens	Noun	tr	peremptory norm	ell	αναγκαστικό δίκαιο	n
mul	ius cogens	Noun	tr	peremptory norm	fas	عرف قطعی	tr=orf-e ghat'ee
mul	ius cogens	Noun	tr	peremptory norm	fas	هنجار بنیادین	tr=hanjār-e bonyādin
mul	ius cogens	Noun	tr	peremptory norm	fin	ius cogens -normi
mul	ius cogens	Noun	tr	peremptory norm	fin	pakottava säännös
mul	ius cogens	Noun	tr	peremptory norm	rus	императи́вная но́рма	f
mul	ius cogens	Noun	tr	peremptory norm	swe	jus cogens
mul	ius dispositivum	Noun	tr	peremptory norm	deu	abdingbares Recht	n
mul	ius dispositivum	Noun	tr	peremptory norm	deu	nachgiebiges Recht	n
mul	ius dispositivum	Noun	tr	peremptory norm	ell	ενδοτικό δίκαιο	n
mul	ius dispositivum	Noun	tr	peremptory norm	fin	tahdonvaltainen säännös
