	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ixcuintepec	Proper noun	tr	municipality	spa	Ixcuintepec
eng	Ixcuintepec	Proper noun	tr	town	mir	Uk Kuꞌubajp
eng	Ixcuintepec	Proper noun	tr	town	mto	Oc Cuvajcm
eng	Ixcuintepec	Proper noun	tr	town	spa	Ixcuintepec
eng	Ixion	Proper noun	tr	a Kuiper Belt object	cat	Ixíon	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	cmn	小行星	sc=Hani
eng	Ixion	Proper noun	tr	a Kuiper Belt object	deu	Ixion	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	ell	Ιξίονας	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	epo	Iksiono
eng	Ixion	Proper noun	tr	a Kuiper Belt object	est	Iksion
eng	Ixion	Proper noun	tr	a Kuiper Belt object	fra	Ixion	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	grc	Ἰξίων	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	gsw	Ixion	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	hbs	Iksion	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	ita	Issione	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	lat	Ixion	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	lim	Ixsion	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	nld	Ixion	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	pol	Ixion	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	por	Ixião	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	rus	Иксион	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	slv	Iksion	m
eng	Ixion	Proper noun	tr	a Kuiper Belt object	spa	Ixión
eng	Ixion	Proper noun	tr	a Kuiper Belt object	ukr	Іксіон	m
eng	Ixion	Proper noun	tr	king of Lapiths	cat	Ixíon	m
eng	Ixion	Proper noun	tr	king of Lapiths	cmn	小行星	sc=Hani
eng	Ixion	Proper noun	tr	king of Lapiths	deu	Ixion	m
eng	Ixion	Proper noun	tr	king of Lapiths	ell	Ιξίονας	m
eng	Ixion	Proper noun	tr	king of Lapiths	epo	Iksiono
eng	Ixion	Proper noun	tr	king of Lapiths	est	Iksion
eng	Ixion	Proper noun	tr	king of Lapiths	fra	Ixion	m
eng	Ixion	Proper noun	tr	king of Lapiths	grc	Ἰξίων	m
eng	Ixion	Proper noun	tr	king of Lapiths	gsw	Ixion	m
eng	Ixion	Proper noun	tr	king of Lapiths	hbs	Iksion	m
eng	Ixion	Proper noun	tr	king of Lapiths	ita	Issione	m
eng	Ixion	Proper noun	tr	king of Lapiths	lat	Ixion	m
eng	Ixion	Proper noun	tr	king of Lapiths	lim	Ixsion	m
eng	Ixion	Proper noun	tr	king of Lapiths	nld	Ixion	m
eng	Ixion	Proper noun	tr	king of Lapiths	pol	Ixion	m
eng	Ixion	Proper noun	tr	king of Lapiths	por	Ixião	m
eng	Ixion	Proper noun	tr	king of Lapiths	rus	Иксион	m
eng	Ixion	Proper noun	tr	king of Lapiths	slv	Iksion	m
eng	Ixion	Proper noun	tr	king of Lapiths	spa	Ixión
eng	Ixion	Proper noun	tr	king of Lapiths	tur	İksiyon
eng	Ixion	Proper noun	tr	king of Lapiths	ukr	Іксіон	m
eng	Ixmiquilpan	Proper noun	tr	city	spa	Ixmiquilpan
eng	Ixmiquilpan	Proper noun	tr	municipality	ote	Ntsꞌo̱tkꞌani
eng	Ixmiquilpan	Proper noun	tr	municipality	spa	Ixmiquilpan
eng	ixodid	Noun	tr	tick	ita	ixodide	m
