	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	IaaS	Noun	tr	Infrastructure as a Service	deu	IaaS	f
eng	IaaS	Noun	tr	Infrastructure as a Service	swe	IaaS	c
eng	Iamblichean	Adjective	tr	of or pertaining to Iamblichus	deu	iamblichisch
eng	Iamblichean	Adjective	tr	of or pertaining to Iamblichus	fra	jamblichéen
eng	Iamblichean	Adjective	tr	of or pertaining to Iamblichus	ita	giamblicheo
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	dan	Iamblichos	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	deu	Iamblichos	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	deu	Jamblichos	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	deu	Jamblichus	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	ell	Ιάμβλιχος	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	fin	Iamblikhos
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	fra	Jamblique	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	ita	Giamblico	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	lat	Iamblichus	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	lat	Jamblichus	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	ltz	Iamblichos	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	nld	Iamblichos	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	nor	Iamblichos	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	por	Jâmblico	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	rus	Ямвлих	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	slk	Iamblichos	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	spa	Jámblico	m
eng	Iamblichus	Proper noun	tr	Syrian Neoplatonist philosopher	swe	Iamblichos	m
eng	Ian	Proper noun	tr	male given name	bel	Ян	m
eng	Ian	Proper noun	tr	male given name	cmn	伊恩	tr=Yīēn
eng	Ian	Proper noun	tr	male given name	jpn	イアン	tr=Ian
eng	Ian	Proper noun	tr	male given name	kor	^이언	tr=
eng	Ian	Proper noun	tr	male given name	lav	Jans	m
eng	Ian	Proper noun	tr	male given name	rus	Иэн	m
eng	Ian	Proper noun	tr	male given name	rus	Ян	m
eng	Ian	Proper noun	tr	male given name	spa	Iván	m
eng	Ian	Proper noun	tr	male given name	spa	Juan	m
eng	Ianthe	Proper noun	tr	An Oceanid	fra	Ianthé	f
eng	Iapetus	Proper noun	tr	the moon of Saturn	deu	Iapetus	m
eng	Iapetus	Proper noun	tr	the moon of Saturn	deu	Japetus	m
eng	Iapetus	Proper noun	tr	the moon of Saturn	ell	Ιαπετός	m
eng	Iapetus	Proper noun	tr	the moon of Saturn	fin	Japetus
eng	Iapetus	Proper noun	tr	the moon of Saturn	fra	Japet	m
eng	Iapetus	Proper noun	tr	the moon of Saturn	ita	Giapeto	m
eng	Iapetus	Proper noun	tr	the moon of Saturn	por	Jápeto
eng	Iapetus	Proper noun	tr	the moon of Saturn	rus	Я́пет	m
eng	Iapetus	Proper noun	tr	the moon of Saturn	spa	Jápeto
eng	Iapetus	Proper noun	tr	the Titan	dan	Iapetus
eng	Iapetus	Proper noun	tr	the Titan	deu	Iapetos	m
eng	Iapetus	Proper noun	tr	the Titan	deu	Japetos	m
eng	Iapetus	Proper noun	tr	the Titan	deu	Japetus	m
eng	Iapetus	Proper noun	tr	the Titan	ell	Ιαπετός	m
eng	Iapetus	Proper noun	tr	the Titan	est	Iapetos
eng	Iapetus	Proper noun	tr	the Titan	fin	Iapetos
eng	Iapetus	Proper noun	tr	the Titan	fra	Japet	m
eng	Iapetus	Proper noun	tr	the Titan	grc	Ἰαπετός	m
