	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Icarianism	Noun	tr		fra	icarisme	m
eng	Icarus	Proper noun	tr		cat	Ícar	m
eng	Icarus	Proper noun	tr		dan	Ikaros	
eng	Icarus	Proper noun	tr		deu	Ikaros	m
eng	Icarus	Proper noun	tr		deu	Ikarus	m
eng	Icarus	Proper noun	tr		ell	Ίκαρος	m
eng	Icarus	Proper noun	tr		est	Ikaros	
eng	Icarus	Proper noun	tr		fra	Icare	m
eng	Icarus	Proper noun	tr		heb	איקארוס	tr=Ikarus
eng	Icarus	Proper noun	tr		ita	Icaro	m
eng	Icarus	Proper noun	tr		jpn	イカロス	tr=Ikarusu
eng	Icarus	Proper noun	tr		lat	Icarus	m
eng	Icarus	Proper noun	tr		nld	Icarus	m
eng	Icarus	Proper noun	tr		pol	Ikar	m
eng	Icarus	Proper noun	tr		por	Ícaro	m
eng	Icarus	Proper noun	tr		rus	Икар	m
eng	Icarus	Proper noun	tr		spa	Ícaro	m
eng	Icarus	Proper noun	tr		swe	Ikaros	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	ara	أَيْسْلَنْدِيّ	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	ast	islandés	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	aze	islandiyalı
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	cat	islandesa	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	cat	islandesa	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	cat	islandés	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	cat	islandès	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	ces	Islanďanka	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	ces	Islanďan	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	cmn	冰岛人	tr=Bīngdǎorén
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	cmn	冰島人
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	dan	islænding	c
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	deu	Isländerin	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	deu	Isländer	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	ell	Ισλανδέζα	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	ell	Ισλανδή	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	ell	Ισλανδός	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	epo	islandanino
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	epo	islandano
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	est	islandlane	m	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	est	islandlanna	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	eus	islandiar
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	fao	íslendingur	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	fin	islantilainen
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	fra	Islandaise	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	fra	Islandais	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	fry	Yslanner
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	gla	Tìleach	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	gle	Íoslannach	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	glg	islandesa	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	glg	islandés	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	glv	Eeslynnagh	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	hbs	Islánđanin	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	hbs	Islanđanka	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	hbs	Исла́нђанин	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	hbs	Исланђанка	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	hun	izlandi
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	isl	Íslendingur	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	ita	islandese	m	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	jpn	アイスランド人	tr=Aisurando-jin
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	kat	ისლანდიელი
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	kaz	исландиялық
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	lav	Islandieši
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	nds-de	Ieslandsche	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	nds-de	Ieslännerin	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	nds-de	Ieslänner	m
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	nds-de	Ieslannsche	f
eng	Icelander	Noun	tr	person from Iceland or of Icelandic descent	nld	IJslander	m
