	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Igbo	Noun	tr	a member of the Igbo people	hye	իբո	sc=Armn
eng	Igbo	Noun	tr	a member of the Igbo people	rus	и́бо
eng	Igbo	Noun	tr	a member of the Igbo people	rus	и́гбо
eng	Igbo	Proper noun	tr	language spoken by Igbo people	cmn	伊博語	sc=Hani
eng	Igbo	Proper noun	tr	language spoken by Igbo people	cmn	伊博语	tr=Yībóyǔ	sc=Hani
eng	Igbo	Proper noun	tr	language spoken by Igbo people	cmn	伊格柏語	sc=Hani
eng	Igbo	Proper noun	tr	language spoken by Igbo people	cmn	伊格柏语	tr=Yīgébóyǔ	sc=Hani
eng	Igbo	Proper noun	tr	language spoken by Igbo people	fin	igbo
eng	Igbo	Proper noun	tr	language spoken by Igbo people	fra	ibo
eng	Igbo	Proper noun	tr	language spoken by Igbo people	fra	igbo
eng	Igbo	Proper noun	tr	language spoken by Igbo people	gle	Íogbóis	f
eng	Igbo	Proper noun	tr	language spoken by Igbo people	hye	իբո	sc=Armn
eng	Igbo	Proper noun	tr	language spoken by Igbo people	ibo	asụsụ Ndi Igbo
eng	Igbo	Proper noun	tr	language spoken by Igbo people	jpn	イグボ語	tr=Igubo-go	sc=Jpan
eng	Igbo	Proper noun	tr	language spoken by Igbo people	jpn	イボ語	tr=Ibo-go	sc=Jpan
eng	Igbo	Proper noun	tr	language spoken by Igbo people	rus	и́бо	m
eng	Igbo	Proper noun	tr	language spoken by Igbo people	rus	и́гбо	m
eng	Igbo	Proper noun	tr	language spoken by Igbo people	swa	Kiigbo
eng	Ignatian	Adjective	tr	of Saint Ignatius of Loyola	deu	ignatianisch
eng	Ignatian	Adjective	tr	of Saint Ignatius of Loyola	fra	ignatien
eng	Ignatian	Adjective	tr	of Saint Ignatius of Loyola	spa	ignaciano
eng	Ignatius	Proper noun	tr	male given name	arg	Inazio
eng	Ignatius	Proper noun	tr	male given name	bel	Ігна́т
eng	Ignatius	Proper noun	tr	male given name	bul	Игнатий	sc=Cyrl
eng	Ignatius	Proper noun	tr	male given name	cat	Ignasi
eng	Ignatius	Proper noun	tr	male given name	ces	Ignác
eng	Ignatius	Proper noun	tr	male given name	deu	Ignatz
eng	Ignatius	Proper noun	tr	male given name	deu	Ignaz
eng	Ignatius	Proper noun	tr	male given name	ell	Ιγνάτιος
eng	Ignatius	Proper noun	tr	male given name	epo	Ignaco
eng	Ignatius	Proper noun	tr	male given name	eus	Iñaki
eng	Ignatius	Proper noun	tr	male given name	eus	Inazio
eng	Ignatius	Proper noun	tr	male given name	fin	Ignatios
eng	Ignatius	Proper noun	tr	male given name	fin	Ignatius
eng	Ignatius	Proper noun	tr	male given name	fra	Ignace
eng	Ignatius	Proper noun	tr	male given name	gle	Iognáid
eng	Ignatius	Proper noun	tr	male given name	glg	Ignacio
