	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Iphigenia	Proper noun	tr	Greek mythological figure	ell	Ιφιγένεια	f
eng	Iphigenia	Proper noun	tr	Greek mythological figure	fra	Iphigénie	f
eng	Iphigenia	Proper noun	tr	Greek mythological figure	grc	Ῑ̓φιγένεια	f
eng	Iphigenia	Proper noun	tr	Greek mythological figure	hye	Իփիգենիա
eng	Iphigenia	Proper noun	tr	Greek mythological figure	ita	Ifigenia	f
eng	Iphigenia	Proper noun	tr	Greek mythological figure	lat	Īphigenīa	f
eng	Iphigenia	Proper noun	tr	Greek mythological figure	pol	Ifigenia	f
eng	Iphigenia	Proper noun	tr	Greek mythological figure	rus	Ифиге́ния	f
eng	Iphigenia	Proper noun	tr	Greek mythological figure	spa	Ifigenia	f
eng	Iphigenia	Proper noun	tr	Greek mythological figure	swe	Ifigenia	c
eng	Iphigenia	Proper noun	tr	Greek mythological figure	xcl	Իփիւգենիա
eng	Ipoh	Proper noun	tr	capital of Perak	cmn	怡保	tr=Yíbǎo
eng	Ipoh	Proper noun	tr	capital of Perak	msa	Ipoh
eng	Ipoh	Proper noun	tr	capital of Perak	yue	怡保	tr=ji4 bou2
eng	Ipswich	Proper noun	tr	town	ang	Gippeswic
eng	Ipswich	Proper noun	tr	town	ell	Ίπσουιτς
eng	Ipswich	Proper noun	tr	town	mkd	И́псвич	m
eng	Ipswich	Proper noun	tr	town	rus	И́псвич	m
eng	Ipswich	Proper noun	tr	town	rus	И́псуич	m
