	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Italian	Adjective	tr	of or pertaining to Italians	deu	italienisch
eng	Italian	Adjective	tr	of or pertaining to Italians	epo	itala
eng	Italian	Adjective	tr	of or pertaining to Italians	fin	italialainen
eng	Italian	Adjective	tr	of or pertaining to Italians	fra	italien
eng	Italian	Adjective	tr	of or pertaining to Italians	glg	italiano	m
eng	Italian	Adjective	tr	of or pertaining to Italians	haw	ʻĪkālia
eng	Italian	Adjective	tr	of or pertaining to Italians	hin	इटालियन
eng	Italian	Adjective	tr	of or pertaining to Italians	hin	इतालवी
eng	Italian	Adjective	tr	of or pertaining to Italians	hye	իտալական
eng	Italian	Adjective	tr	of or pertaining to Italians	kat	იტალიური
eng	Italian	Adjective	tr	of or pertaining to Italians	lat	italicus	m
eng	Italian	Adjective	tr	of or pertaining to Italians	lat	italis	f
eng	Italian	Adjective	tr	of or pertaining to Italians	lat	italus	m
eng	Italian	Adjective	tr	of or pertaining to Italians	lav	itāliešu
eng	Italian	Adjective	tr	of or pertaining to Italians	lav	itālisks
eng	Italian	Adjective	tr	of or pertaining to Italians	lav	itāļu
eng	Italian	Adjective	tr	of or pertaining to Italians	mhn	balsch
eng	Italian	Adjective	tr	of or pertaining to Italians	msa	Itali
eng	Italian	Adjective	tr	of or pertaining to Italians	msa	orang Itali
eng	Italian	Adjective	tr	of or pertaining to Italians	nno	italiensk
eng	Italian	Adjective	tr	of or pertaining to Italians	nob	italiensk
eng	Italian	Adjective	tr	of or pertaining to Italians	pol	włoski
eng	Italian	Adjective	tr	of or pertaining to Italians	por	italiano
eng	Italian	Adjective	tr	of or pertaining to Italians	por	itálico
eng	Italian	Adjective	tr	of or pertaining to Italians	por	ítalo
eng	Italian	Adjective	tr	of or pertaining to Italians	ron	italian
eng	Italian	Adjective	tr	of or pertaining to Italians	ron	italic
eng	Italian	Adjective	tr	of or pertaining to Italians	ron	italienesc
