	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	J-pop	Noun	tr	Japanese pop music	ara	جِاي-بُوب	m	tr=jey-būb
eng	J-pop	Noun	tr	Japanese pop music	ara	جِاي-بُوب	m	tr=jey-pop
eng	J-pop	Noun	tr	Japanese pop music	cmn	日本流行音乐	tr=Rìběn liúxíng yīnyuè	sc=Hani
eng	J-pop	Noun	tr	Japanese pop music	cmn	日本流行音樂	sc=Hani
eng	J-pop	Noun	tr	Japanese pop music	deu	J-Pop	m
eng	J-pop	Noun	tr	Japanese pop music	fin	japanilainen pop
eng	J-pop	Noun	tr	Japanese pop music	fin	japsipoppi
eng	J-pop	Noun	tr	Japanese pop music	fin	J-pop
eng	J-pop	Noun	tr	Japanese pop music	fra	J-pop	f
eng	J-pop	Noun	tr	Japanese pop music	fra	pop japonaise	f
eng	J-pop	Noun	tr	Japanese pop music	ind	J-pop
eng	J-pop	Noun	tr	Japanese pop music	jpn	J-POP	tr=jei-poppu
eng	J-pop	Noun	tr	Japanese pop music	jpn	ジェーポップ	tr=jēpoppu
eng	J-pop	Noun	tr	Japanese pop music	kor	제이팝
eng	J-pop	Noun	tr	Japanese pop music	kor	J-pop	tr=jei-pap
eng	J-pop	Noun	tr	Japanese pop music	kor	일본의 팝음악	tr=Ilbon-ui pap-eumak
eng	J-pop	Noun	tr	Japanese pop music	mar	जे-पॉप	n
eng	J-pop	Noun	tr	Japanese pop music	por	J-pop	m
eng	J-pop	Noun	tr	Japanese pop music	rus	джей-по́п	m
eng	J-pop	Noun	tr	Japanese pop music	rus	япо́нская поп-му́зыка	f
eng	J-pop	Noun	tr	Japanese pop music	rus	япо́нский поп	m
eng	J-pop	Noun	tr	Japanese pop music	spa	J-Pop	m
eng	J-pop	Noun	tr	Japanese pop music	tha	เจ-ป็อป	tr=jay-bpòp
eng	J-pop	Noun	tr	Japanese pop music	vie	J-Pop
