	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Jabal	Proper noun	tr		vie	Gia-banh
eng	Jabalpur	Proper noun	tr	city in India	ara	جَابَلْبُور	m	tr=jabalbūr
eng	Jabalpur	Proper noun	tr	city in India	ben	জবলপুর	sc=Beng
eng	Jabalpur	Proper noun	tr	city in India	cmn	賈巴爾普爾	sc=Hani
eng	Jabalpur	Proper noun	tr	city in India	cmn	贾巴尔普尔	tr=Jiǎbā'ěrpǔ'ěr	sc=Hani
eng	Jabalpur	Proper noun	tr	city in India	hin	जबलपुर
eng	Jabalpur	Proper noun	tr	city in India	jpn	ジャバルプル	tr=Jabarupuru
eng	Jabalpur	Proper noun	tr	city in India	pol	Dżabalpur	m
eng	Jabalpur	Proper noun	tr	city in India	pol	Jabalpur	m
eng	Jabalpur	Proper noun	tr	city in India	rus	Джабалпу́р	m
eng	Jabalpur	Proper noun	tr	city in India	san	जाबालिपुर
eng	Jabalpur	Proper noun	tr	city in India	ukr	Джабалпу́р	m
eng	Jabalpur	Proper noun	tr	city in India	urd	جبلپور	tr=jabalpur
eng	jabberer	Noun	tr	someone who jabbers	deu	Schwatzmaul	n
eng	jabberer	Noun	tr	someone who jabbers	vol	hiluspikan
eng	jabberer	Noun	tr	someone who jabbers	vol	jiluspikan
eng	jabberer	Noun	tr	someone who jabbers	vol	luspikan
eng	jabber	Noun	tr	gibberish	bul	бърборене	n
eng	jabber	Noun	tr	gibberish	ell	φλυαρία	f	sc=Grek
eng	jabber	Noun	tr	gibberish	hbs	brbljanje	n
eng	jabber	Noun	tr	gibberish	pol	bełkot	m
eng	jabber	Noun	tr	gibberish	pol	gadanina	f
eng	jabber	Noun	tr	gibberish	pol	terkot	m
eng	jabber	Noun	tr	gibberish	spa	farfulla	f
eng	jabber	Noun	tr	gibberish	spa	galimatías	m
eng	jabber	Verb	tr	to gabble	bul	бръщолевя
eng	jabber	Verb	tr	to gabble	bul	бърборя
eng	jabber	Verb	tr	to gabble	dan	bavle
eng	jabber	Verb	tr	to gabble	dan	våse
eng	jabber	Verb	tr	to gabble	ell	φλυαρώ	sc=Grek
eng	jabber	Verb	tr	to gabble	fra	jacasser
eng	jabber	Verb	tr	to gabble	hbs	brbljati
eng	jabber	Verb	tr	to gabble	ita	farfugliare
eng	jabber	Verb	tr	to gabble	jpn	ぺちゃくちゃしゃべる
eng	jabber	Verb	tr	to gabble	jpn	早口でわけのわからないことを言う
eng	jabber	Verb	tr	to gabble	kat	ბუტბუტი
eng	jabber	Verb	tr	to gabble	kat	ლაქლაქი
eng	jabber	Verb	tr	to gabble	kat	ლუღლუღი
eng	jabber	Verb	tr	to gabble	kat	ყბედობა
eng	jabber	Verb	tr	to gabble	kor	(흥분해서 알아듣기 힘들게) 지껄이다
eng	jabber	Verb	tr	to gabble	mri	hautete
eng	jabber	Verb	tr	to gabble	mri	hote
eng	jabber	Verb	tr	to gabble	mri	kohe
eng	jabber	Verb	tr	to gabble	mri	kunanu
eng	jabber	Verb	tr	to gabble	pol	bełkotać
eng	jabber	Verb	tr	to gabble	pol	paplać	impf
eng	jabber	Verb	tr	to gabble	pol	trajkotać
eng	jabber	Verb	tr	to gabble	spa	farfullar
eng	Jabberwock	Proper noun	tr	fantastical monster	afr	Brabbelwog
eng	Jabberwock	Proper noun	tr	fantastical monster	afr	Flabberjak
eng	Jabberwock	Proper noun	tr	fantastical monster	cat	Borboterum
eng	Jabberwock	Proper noun	tr	fantastical monster	cat	Endraper
eng	Jabberwock	Proper noun	tr	fantastical monster	ces	Tlachapoud
eng	Jabberwock	Proper noun	tr	fantastical monster	ces	Žvahlav
eng	Jabberwock	Proper noun	tr	fantastical monster	cym	Siaberwoc
