	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Jūrmala	Proper noun	tr	city in Latvia	bel	Ю́рмала	f
eng	Jūrmala	Proper noun	tr	city in Latvia	dan	Jūrmala
eng	Jūrmala	Proper noun	tr	city in Latvia	deu	Jūrmala	n
eng	Jūrmala	Proper noun	tr	city in Latvia	deu	Rigastrand	n
eng	Jūrmala	Proper noun	tr	city in Latvia	kor	유르말라	sc=Kore
eng	Jūrmala	Proper noun	tr	city in Latvia	lav	Jūrmala	f
eng	Jūrmala	Proper noun	tr	city in Latvia	lit	Jūrmala	f
eng	Jūrmala	Proper noun	tr	city in Latvia	nob	Jūrmala
eng	Jūrmala	Proper noun	tr	city in Latvia	pol	Jurmała	f
eng	Jūrmala	Proper noun	tr	city in Latvia	rus	Ю́рмала	f
eng	Jūrmala	Proper noun	tr	city in Latvia	ukr	Ю́рмала	f
