	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	K2	Proper noun	tr	the world’s second highest mountain	ara	جَبَل كَي ٢	tr=jabal kay iṯnān
eng	K2	Proper noun	tr	the world’s second highest mountain	aze	Çoqori
eng	K2	Proper noun	tr	the world’s second highest mountain	bel	гара Чагары
eng	K2	Proper noun	tr	the world’s second highest mountain	ben	কে২	tr=ke-dui
eng	K2	Proper noun	tr	the world’s second highest mountain	bft	چھوغوری
eng	K2	Proper noun	tr	the world’s second highest mountain	bul	К2
eng	K2	Proper noun	tr	the world’s second highest mountain	cmn	乔戈里峰	tr=Qiáogēlǐ Fēng
eng	K2	Proper noun	tr	the world’s second highest mountain	cmn	喬戈里峰
eng	K2	Proper noun	tr	the world’s second highest mountain	fas	کی ۲	tr=kay doh
eng	K2	Proper noun	tr	the world’s second highest mountain	fin	K2
eng	K2	Proper noun	tr	the world’s second highest mountain	fra	K2	m
eng	K2	Proper noun	tr	the world’s second highest mountain	hbs	К2
eng	K2	Proper noun	tr	the world’s second highest mountain	hin	के२	tr=ke-do
eng	K2	Proper noun	tr	the world’s second highest mountain	hin	के-टू	m
eng	K2	Proper noun	tr	the world’s second highest mountain	hun	K2
eng	K2	Proper noun	tr	the world’s second highest mountain	hye	K2
eng	K2	Proper noun	tr	the world’s second highest mountain	hye	Չոգորի
eng	K2	Proper noun	tr	the world’s second highest mountain	jpn	K2	tr=ケーツー, Kētsū	sc=Jpan
eng	K2	Proper noun	tr	the world’s second highest mountain	kan	ಕೆ೨
eng	K2	Proper noun	tr	the world’s second highest mountain	kat	კ2
eng	K2	Proper noun	tr	the world’s second highest mountain	kaz	К-2
eng	K2	Proper noun	tr	the world’s second highest mountain	kir	Чогори
eng	K2	Proper noun	tr	the world’s second highest mountain	kor	K2 산	tr=Keii-san
eng	K2	Proper noun	tr	the world’s second highest mountain	mai	के२
eng	K2	Proper noun	tr	the world’s second highest mountain	mar	के२
eng	K2	Proper noun	tr	the world’s second highest mountain	mkd	К2
eng	K2	Proper noun	tr	the world’s second highest mountain	nan	K2 Hong
eng	K2	Proper noun	tr	the world’s second highest mountain	nep	के२
eng	K2	Proper noun	tr	the world’s second highest mountain	pan	ਕੇ ਟੂ
eng	K2	Proper noun	tr	the world’s second highest mountain	pnb	کے ٹو
eng	K2	Proper noun	tr	the world’s second highest mountain	pol	Czogori	f
eng	K2	Proper noun	tr	the world’s second highest mountain	pol	K2	f
eng	K2	Proper noun	tr	the world’s second highest mountain	por	K2	m
eng	K2	Proper noun	tr	the world’s second highest mountain	roh	K2
eng	K2	Proper noun	tr	the world’s second highest mountain	roh	Lambha Pahar
eng	K2	Proper noun	tr	the world’s second highest mountain	rus	К2
eng	K2	Proper noun	tr	the world’s second highest mountain	rus	Чогори
eng	K2	Proper noun	tr	the world’s second highest mountain	tam	கே-2 கொடுமுடி	tr=kē-iraṇṭu koṭumuṭi
eng	K2	Proper noun	tr	the world’s second highest mountain	tel	కే2
eng	K2	Proper noun	tr	the world’s second highest mountain	tgk	К2
eng	K2	Proper noun	tr	the world’s second highest mountain	tha	ยอดเขาเคทู	tr=yôt kăo kây-too
eng	K2	Proper noun	tr	the world’s second highest mountain	tur	K2 Dağı
eng	K2	Proper noun	tr	the world’s second highest mountain	uig	چوگىر چوققىسى
eng	K2	Proper noun	tr	the world’s second highest mountain	ukr	K2
eng	K2	Proper noun	tr	the world’s second highest mountain	ukr	Чоґорі
eng	K2	Proper noun	tr	the world’s second highest mountain	urd	کے ٹو	tr=kai-ṭū
eng	K2	Proper noun	tr	the world’s second highest mountain	uzb	Chogori
eng	K2	Proper noun	tr	the world’s second highest mountain	wuu	乔戈里峰
eng	K2	Proper noun	tr	the world’s second highest mountain	yue	喬戈里峰
