	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Klaipėda	Proper noun	tr	city in Lithuania	bel	Кла́йпеда	f
eng	Klaipėda	Proper noun	tr	city in Lithuania	ces	Klajpeda	f
eng	Klaipėda	Proper noun	tr	city in Lithuania	dan	Klaipėda
eng	Klaipėda	Proper noun	tr	city in Lithuania	deu	Klaipėda	n
eng	Klaipėda	Proper noun	tr	city in Lithuania	deu	Memel	n
eng	Klaipėda	Proper noun	tr	city in Lithuania	kat	კლაიპედა
eng	Klaipėda	Proper noun	tr	city in Lithuania	lav	Klaipēda	f
eng	Klaipėda	Proper noun	tr	city in Lithuania	lit	Klaipėda	f
eng	Klaipėda	Proper noun	tr	city in Lithuania	pol	Kłajpeda	f
eng	Klaipėda	Proper noun	tr	city in Lithuania	por	Klaipeda	f
eng	Klaipėda	Proper noun	tr	city in Lithuania	por	Memel	f
eng	Klaipėda	Proper noun	tr	city in Lithuania	rus	Кла́йпеда	f
eng	Klaipėda	Proper noun	tr	city in Lithuania	ukr	Кла́йпеда	f
eng	Klášterní Hradisko	Proper noun	tr	quarter of Olomouc	ces	Klášterní Hradisko	n
eng	Klášterní Hradisko	Proper noun	tr	quarter of Olomouc	deu	Kloster Hradisch	n
eng	Klausian	Adjective	tr	of or relating to Václav Klaus	ces	klausovský
eng	Kleene star	Noun	tr		fin	Kleenen tähti
eng	Kleene star	Noun	tr		fra	étoile de Kleene	f
eng	Klein bottle	Noun	tr	closed surface	ces	Kleinova láhev	f
eng	Klein bottle	Noun	tr	closed surface	deu	Kleinsche Flasche	f
eng	Klein bottle	Noun	tr	closed surface	fin	Kleinin pullo
eng	Klein bottle	Noun	tr	closed surface	fra	bouteille de Klein	f
eng	Klein bottle	Noun	tr	closed surface	hun	Klein kancsó
eng	Klein bottle	Noun	tr	closed surface	ita	bottiglia di Klein	f
eng	Klein bottle	Noun	tr	closed surface	jpn	クラインの壺	tr=Kurain no tsubo
eng	Klein bottle	Noun	tr	closed surface	kor	^클라인 병
eng	Klein bottle	Noun	tr	closed surface	por	garrafa de Klein	f
eng	Klein bottle	Noun	tr	closed surface	rus	буты́лка Клейна	f
eng	Klein bottle	Noun	tr	closed surface	spa	botella de Klein	f
eng	Kletsk	Proper noun	tr	A city in Belarus	bel	Клецк	m	sc=Cyrl
eng	Kletsk	Proper noun	tr	A city in Belarus	lav	Kļecka	f
eng	Kletsk	Proper noun	tr	A city in Belarus	lit	Kleckas	m
eng	Kletsk	Proper noun	tr	A city in Belarus	pol	Kleck	m
eng	Kletsk	Proper noun	tr	A city in Belarus	ukr	Клецьк	m	sc=Cyrl
eng	Klingon	Noun	tr	member of an alien warrior race in the Star Trek universe	ces	Klingon	m
eng	Klingon	Noun	tr	member of an alien warrior race in the Star Trek universe	cmn	克林貢
