	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Kvarken	Proper noun	tr	narrow region	fin	Merenkurkku
eng	Kvarken	Proper noun	tr	narrow region	nld	Kvarkenarchipel
eng	Kvarken	Proper noun	tr	narrow region	swe	Kvarken
eng	Kvemo Kartli	Proper noun	tr	region of Georgia	aze	Aşağı Kartli
eng	Kvemo Kartli	Proper noun	tr	region of Georgia	deu	Niederkartlien
eng	Kvemo Kartli	Proper noun	tr	region of Georgia	fra	Basse Kartlie	f
eng	Kvemo Kartli	Proper noun	tr	region of Georgia	ita	Kartli Inferiore	m
eng	Kvemo Kartli	Proper noun	tr	region of Georgia	kat	ქვემო ქართლი
eng	Kvemo Kartli	Proper noun	tr	region of Georgia	rus	Кве́мо-Ка́ртли
eng	Kven	Noun	tr	language	ces	kvenština	f
eng	Kven	Noun	tr	language	dan	kvensk
eng	Kven	Noun	tr	language	deu	kvenisch
eng	Kven	Noun	tr	language	est	kveeni
eng	Kven	Noun	tr	language	fin	kveeni
eng	Kven	Noun	tr	language	fkv	kvääni
eng	Kven	Noun	tr	language	fra	kvène	m
eng	Kven	Noun	tr	language	isl	kvænska	f
eng	Kven	Noun	tr	language	isl	kvenska	f
eng	Kven	Noun	tr	language	jpn	クヴェン語	tr=kuven-go	sc=Jpan
eng	Kven	Noun	tr	language	nno	kvensk
eng	Kven	Noun	tr	language	nob	kvensk
eng	Kven	Noun	tr	language	sme	láttegiella
eng	Kven	Noun	tr	language	swe	kvänska
eng	Kven	Noun	tr	person	fin	kveeni
eng	Kven	Noun	tr	person	fkv	kvääni
eng	Kven	Noun	tr	person	isl	Kveni	m
eng	Kven	Noun	tr	person	jpn	クヴェン人	tr=kuven-jin	sc=Jpan
eng	Kven	Noun	tr	person	nno	kven	m
eng	Kven	Noun	tr	person	nob	kven	m
eng	Kvirikashvili	Proper noun	tr	surname	hye	Կվիրիկաշվիլի
eng	Kvirikashvili	Proper noun	tr	surname	kat	კვირიკაშვილი
eng	Kvirikashvili	Proper noun	tr	surname	rus	Квирикашви́ли
