	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Kyaingtong	Proper noun	tr	Town in Shan State, Burma	cmn	孟艮
eng	Kyaingtong	Proper noun	tr	Town in Shan State, Burma	cmn	孟艮府
eng	Kyaingtong	Proper noun	tr	Town in Shan State, Burma	kkh	ᨩ᩠ᨿᨦᨲᩩᨦ	sc=Lana
eng	Kyaingtong	Proper noun	tr	Town in Shan State, Burma	mya	ကျိုင်းတုံမြို့
eng	Kyaingtong	Proper noun	tr	Town in Shan State, Burma	shn	ၵဵင်းတုင်
eng	Kyaingtong	Proper noun	tr	Town in Shan State, Burma	tha	เชียงตุง	tr=Chiang Tung
eng	Kyakhta	Proper noun	tr	town in Buryatia, Russia on the border between Russia and Mongolia	cmn	恰克图	tr=Qiàkètú
eng	Kyakhta	Proper noun	tr	town in Buryatia, Russia on the border between Russia and Mongolia	cmn	恰克圖
eng	Kyakhta	Proper noun	tr	town in Buryatia, Russia on the border between Russia and Mongolia	mon	Хиагт
eng	Kyoto	Proper noun	tr	Kyōto, Japan	amh	ክዮቶ	tr=kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	ara	كِيُوتُو	m
eng	Kyoto	Proper noun	tr	Kyōto, Japan	arz	كيوتو	f	tr=kiyutu
eng	Kyoto	Proper noun	tr	Kyōto, Japan	ben	কিওটো
eng	Kyoto	Proper noun	tr	Kyōto, Japan	bod	ཁ་ཡོ་ཐོ	sc=Tibt
eng	Kyoto	Proper noun	tr	Kyōto, Japan	bul	Киото
eng	Kyoto	Proper noun	tr	Kyōto, Japan	cat	Kyoto	m
eng	Kyoto	Proper noun	tr	Kyōto, Japan	ces	Kjóto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	cmn	京都	tr=Jīngdū	sc=Hani
eng	Kyoto	Proper noun	tr	Kyōto, Japan	dan	Kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	deu	Kyōto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	ell	Κιότο	f
eng	Kyoto	Proper noun	tr	Kyōto, Japan	epo	Kioto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	est	Kyōto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	eus	Kioto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	fas	کیوتو
eng	Kyoto	Proper noun	tr	Kyōto, Japan	fin	Kioto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	fra	Kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	gle	Ciótó
eng	Kyoto	Proper noun	tr	Kyōto, Japan	glg	Quioto	m
eng	Kyoto	Proper noun	tr	Kyōto, Japan	hbs	Kjoto	m
eng	Kyoto	Proper noun	tr	Kyōto, Japan	hbs	Кјото	m
eng	Kyoto	Proper noun	tr	Kyōto, Japan	heb	קיוטו	tr=kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	hin	क्योटो
eng	Kyoto	Proper noun	tr	Kyōto, Japan	hin	क्योतो
eng	Kyoto	Proper noun	tr	Kyōto, Japan	hun	Kiotó
eng	Kyoto	Proper noun	tr	Kyōto, Japan	ind	Kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	ita	Kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	jpn	京都	tr=きょうと, Kyōto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	jpn	京都市	tr=きょうとし, Kyōto-shi	sc=Jpan
eng	Kyoto	Proper noun	tr	Kyōto, Japan	jpn	京都府	tr=きょうとふ, Kyōto-fu	sc=Jpan
eng	Kyoto	Proper noun	tr	Kyōto, Japan	kat	კიოტო
eng	Kyoto	Proper noun	tr	Kyōto, Japan	kor	^교토
eng	Kyoto	Proper noun	tr	Kyōto, Japan	kor	^교또
eng	Kyoto	Proper noun	tr	Kyōto, Japan	lat	Kioto	f
eng	Kyoto	Proper noun	tr	Kyōto, Japan	lat	Kyoto	f
eng	Kyoto	Proper noun	tr	Kyōto, Japan	lat	Kyotum	n
eng	Kyoto	Proper noun	tr	Kyōto, Japan	lat	Meacum
eng	Kyoto	Proper noun	tr	Kyōto, Japan	lat	Miaco
eng	Kyoto	Proper noun	tr	Kyōto, Japan	lit	Kiotas
eng	Kyoto	Proper noun	tr	Kyōto, Japan	mar	कियोटो
eng	Kyoto	Proper noun	tr	Kyōto, Japan	mkd	Кјото	n
eng	Kyoto	Proper noun	tr	Kyōto, Japan	mon	Киото
eng	Kyoto	Proper noun	tr	Kyōto, Japan	mya	ကျိုတို
eng	Kyoto	Proper noun	tr	Kyōto, Japan	nld	Kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	nob	Kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	oss	Киото
eng	Kyoto	Proper noun	tr	Kyōto, Japan	pan	ਕਿਓਤੋ
eng	Kyoto	Proper noun	tr	Kyōto, Japan	pnb	کیوٹو
eng	Kyoto	Proper noun	tr	Kyōto, Japan	pol	Kioto	n
eng	Kyoto	Proper noun	tr	Kyōto, Japan	por	Kioto	f
eng	Kyoto	Proper noun	tr	Kyōto, Japan	por	Kyoto	f
eng	Kyoto	Proper noun	tr	Kyōto, Japan	por	Quioto	f
eng	Kyoto	Proper noun	tr	Kyōto, Japan	ron	Kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	rus	Кио́то	m
eng	Kyoto	Proper noun	tr	Kyōto, Japan	slv	Kjoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	spa	Kioto	m
eng	Kyoto	Proper noun	tr	Kyōto, Japan	swe	Kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	tur	Kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	uig	كيوتو
eng	Kyoto	Proper noun	tr	Kyōto, Japan	ukr	Кіо́то	n
eng	Kyoto	Proper noun	tr	Kyōto, Japan	urd	کیوتو
eng	Kyoto	Proper noun	tr	Kyōto, Japan	vie	Kinh Đô
eng	Kyoto	Proper noun	tr	Kyōto, Japan	vie	Kyoto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	vie	Kyōto
eng	Kyoto	Proper noun	tr	Kyōto, Japan	yue	京都	tr=ging1dou1	sc=Hant
eng	Kyparissia	Proper noun	tr	town	ell	Κυπαρισσία
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	ara	قِيرْغِيزِيّ
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	aze	qırğız
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	bak	ҡырғыҙ
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	bel	кіргі́скі
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	bel	кыргы́скі
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	ben	কিরগিজ
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	bul	кирги́зки
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	ces	kyrgyzský
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	cmn	吉尔吉斯	tr=Jí'ěrjísī
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	cmn	吉爾吉斯
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	dan	kirgisisk
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	deu	kirgisisch
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	dng	хырхыз
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	est	kirgiisi
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	fas	قرقیزی	tr=qerqizi
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	fin	kirgisialainen
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	fra	kirghize	f
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	fra	kirghiz	m
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	gle	Cirgeasach
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	hbs	kìrgīskī
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	hbs	кѝргӣскӣ
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	hun	kirgiz
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	hye	կիրգիզական
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	hye	ղրղզական
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	jpn	キルギス	tr=Kirugisu
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	kat	ყირგიზული
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	kaz	қырғыз
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	kir	кыргыз
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	kjh	хырғыс	sc=Cyrl
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	kor	^키르기스
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	lav	kirgīzisks
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	lav	kirgīzu
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	mon	киргиз
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	mon	хиргис
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	msa	Kyrgyz
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	nld	Kirgizisch
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	nno	kirgisisk
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	nob	kirgisisk
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	pol	kirgiski
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	por	quirguiz
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	ron	kirghiz
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	rus	кирги́зский
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	rus	кыргы́зский
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	slk	kirgizský
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	spa	kirguiso
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	sqi	kirgiz
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	swe	kirgizisk
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	tat	кыргыз
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	tgk	қирғизӣ
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	tha	คีร์กีซ
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	tuk	gyrgyz
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	tur	Kırgız
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	uig	قىرغىز
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	ukr	кирги́зький
eng	Kyrgyz	Adjective	tr	of, from, or pertaining to Kyrgyzstan, the Kyrgyz people or the Kyrgyz language	uzb	qirgʻiz
