	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Kölsch	Noun	tr		deu	Kölsch	n
eng	Kölsch	Proper noun	tr		deu	Kölnisch	n
eng	Kölsch	Proper noun	tr		deu	Kölsch	n
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	ara	كُرَات لَحْمٍ كُونِيغْسْبَرْغ	f-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	cmn	哥尼斯堡肉丸	tr=Gēnísībǎo ròuwán
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	deu	Kapernklopse	m-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	deu	Kochklopse	m-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	deu	Königsberger Klopse	m-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	deu	Saure Klopse	m-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	deu	Soßklopse	m-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	fin	lihapullat kermakastikkeessa
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	hun	königsbergi húsgombócok	p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	kor	쾨니히스베르거 클롭제
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	rus	кёнигсбергские кло́псы	m-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	rus	кёнигсбе́ргские кло́псы	m-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	ukr	кеніґсбе́рґскі кло́пси	m-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	ukr	ке́ніґсберґскі кло́пси	m-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	ukr	кеніґсбе́рзькі кло́пси	m-p
eng	Königsberger Klopse	Noun	tr	East Prussian dish of meatballs	ukr	ке́ніґсберзькі кло́пси	m-p
eng	Königsberg	Proper noun	tr		afr	Koningsberg
eng	Königsberg	Proper noun	tr		ara	كُونِيغْسْبَرْغ	m
eng	Königsberg	Proper noun	tr		aze	Köniqsberq
eng	Königsberg	Proper noun	tr		bak	Кө́нигсберг
eng	Königsberg	Proper noun	tr		bel	Караля́вец	m
eng	Königsberg	Proper noun	tr		bul	Кьонигсберг	m
eng	Königsberg	Proper noun	tr		ces	Královec	m
eng	Königsberg	Proper noun	tr		cmn	哥尼斯堡	tr=Gēnísībǎo
eng	Königsberg	Proper noun	tr		cmn	柯尼斯堡	tr=Kēnísībǎo
eng	Königsberg	Proper noun	tr		dan	Königsberg
eng	Königsberg	Proper noun	tr		deu	Königsberg	n
eng	Königsberg	Proper noun	tr		dsb	Kralowc	m
eng	Königsberg	Proper noun	tr		ell	Καινιξβέργη	f
eng	Königsberg	Proper noun	tr		ell	Κένιγκσμπεργκ	n
eng	Königsberg	Proper noun	tr		epo	Kenigsbergo
eng	Königsberg	Proper noun	tr		fas	کونیگسبرگ	tr=Konigsberg
eng	Königsberg	Proper noun	tr		fin	Königsberg
eng	Königsberg	Proper noun	tr		fra	Kœnigsberg	m
eng	Königsberg	Proper noun	tr		fra	Königsberg	m
eng	Königsberg	Proper noun	tr		frr	Könningsbeerg
eng	Königsberg	Proper noun	tr		fry	Keningsberch
eng	Königsberg	Proper noun	tr		hbs	Kraljevic	m
eng	Königsberg	Proper noun	tr		hbs	Краљевиц	m
eng	Königsberg	Proper noun	tr		heb	קֶנִיגְסְבֶּרְג	m	tr=Kenigsbérg
eng	Königsberg	Proper noun	tr		ita	Königsberg	f
eng	Königsberg	Proper noun	tr		jpn	ケーニヒスベルク	tr=Kēnihisuberuku
eng	Königsberg	Proper noun	tr		kat	კენიგსბერგი
eng	Königsberg	Proper noun	tr		kor	^쾨니히스베르크
eng	Königsberg	Proper noun	tr		lat	Rēgiomontium	n
eng	Königsberg	Proper noun	tr		lat	Rēgiomontum	n
eng	Königsberg	Proper noun	tr		lav	Karaļauči	m
eng	Königsberg	Proper noun	tr		lav	Kēnigsberga	f
eng	Königsberg	Proper noun	tr		lit	Karaliaučius	m
eng	Königsberg	Proper noun	tr		nds-de	Kensbarg	n
eng	Königsberg	Proper noun	tr		nds-de	Kensborg	n
eng	Königsberg	Proper noun	tr		nds-de	Königsbarg	n
eng	Königsberg	Proper noun	tr		nld	Koningsbergen	n
eng	Königsberg	Proper noun	tr		nor	Königsberg
eng	Königsberg	Proper noun	tr		pol	Królewiec	m
eng	Königsberg	Proper noun	tr		por	Conisberga	f
eng	Königsberg	Proper noun	tr		por	Konigsberg	f
eng	Königsberg	Proper noun	tr		por	Königsberg	f
eng	Königsberg	Proper noun	tr		ron	Königsberg	m
eng	Königsberg	Proper noun	tr		rus	Кёнигсберг	m
eng	Königsberg	Proper noun	tr		rus	Кёнигсбе́рг	m
eng	Königsberg	Proper noun	tr		rus	Короле́вец	m
eng	Königsberg	Proper noun	tr		spa	Königsberg	m
eng	Königsberg	Proper noun	tr		swe	Königsberg	n
eng	Königsberg	Proper noun	tr		ukr	Кеніґсбе́рґ	m
eng	Königsberg	Proper noun	tr		ukr	Ке́ніґсберґ	m
eng	Königsberg	Proper noun	tr		urd	کونگسبرگ	m	tr=Konigasberg
eng	Königsberg	Proper noun	tr		yid	קעניגסבערג	n
eng	Königsberg	Proper noun	tr		zlw-opl	Królewiec	m
eng	Königsberg	Proper noun	tr		zlw-opl	Królówgród	m
