	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Kırklareli	Proper noun	tr	city of Turkey	aze	Kırklareli
eng	Kırklareli	Proper noun	tr	city of Turkey	bel	Кыркларэ́лі	sc=Cyrl
eng	Kırklareli	Proper noun	tr	city of Turkey	bul	Ло́зенград
eng	Kırklareli	Proper noun	tr	city of Turkey	chv	Кыркларели
eng	Kırklareli	Proper noun	tr	city of Turkey	crh	Kırklareli
eng	Kırklareli	Proper noun	tr	city of Turkey	deu	Kırklareli
eng	Kırklareli	Proper noun	tr	city of Turkey	ell	Κιρκλάρελι
eng	Kırklareli	Proper noun	tr	city of Turkey	ell	Σαράντα Εκκλησιές
eng	Kırklareli	Proper noun	tr	city of Turkey	epo	Kırklareli
eng	Kırklareli	Proper noun	tr	city of Turkey	fas	قرقلرایلی	sc=Arab
eng	Kırklareli	Proper noun	tr	city of Turkey	fin	Kırklareli
eng	Kırklareli	Proper noun	tr	city of Turkey	fra	Kırklareli
eng	Kırklareli	Proper noun	tr	city of Turkey	hun	Kırklareli
eng	Kırklareli	Proper noun	tr	city of Turkey	hye	Քըրքլարելի
eng	Kırklareli	Proper noun	tr	city of Turkey	kat	ქირკლარელი
eng	Kırklareli	Proper noun	tr	city of Turkey	lav	Kirklareli
eng	Kırklareli	Proper noun	tr	city of Turkey	mkd	Кркларели
eng	Kırklareli	Proper noun	tr	city of Turkey	nan	Kırklareli
eng	Kırklareli	Proper noun	tr	city of Turkey	oss	Кыркларели
eng	Kırklareli	Proper noun	tr	city of Turkey	por	Kirk-Kilisse	f
eng	Kırklareli	Proper noun	tr	city of Turkey	rus	Кыркларели
eng	Kırklareli	Proper noun	tr	city of Turkey	tgk	Киркларели	sc=Cyrl
eng	Kırklareli	Proper noun	tr	city of Turkey	tur	Kırklareli
eng	Kırklareli	Proper noun	tr	city of Turkey	zza	Qırxlareli
