	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	L'Aquila	Proper noun	tr	province	bul	Лакуила
eng	L'Aquila	Proper noun	tr	province	fra	L'Aquila
eng	L'Aquila	Proper noun	tr	province	ita	L'Aquila
eng	L'Aquila	Proper noun	tr	province	mar	लाक्वीला
eng	L'Aquila	Proper noun	tr	province	pol	L'Aquila	f
eng	L'Aquila	Proper noun	tr	town	bul	Лакуила
eng	L'Aquila	Proper noun	tr	town	fra	L'Aquila
eng	L'Aquila	Proper noun	tr	town	ita	L'Aquila
eng	L'Aquila	Proper noun	tr	town	mar	लाक्वीला
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	ces	esprit de l'escalier	m
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	ces	opožděná duchaplnost	f
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	deu	Treppenwitz	m
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	est	tagantjärgi tark olema
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	fra	esprit de l'escalier	m
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	fra	esprit d'escalier	m
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	hbs	kasna pȁmēt	f
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	hbs	касна па̏ме̄т	f
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	isl	gáfaður eftir á
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	por	espírito da escada	m
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	rus	за́дний ум	m
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	rus	ле́стничный ум	m
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	rus	остроу́мие на ле́стнице	n
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	spa	espíritu del escalador	m
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	spa	ingenio de la escalera	m
eng	l'esprit de l'escalier	Noun	tr	phenomenon when a conversational rejoinder or remark only occurs to someone after the opportunity to make it has passed	yid	טרעפּווערטער	n-p
eng	L'Hôpital's rule	Proper noun	tr	a rule which uses derivatives to help evaluate limits involving indeterminate forms	pol	reguła de l'Hospitala	f
eng	L'Hôpital's rule	Proper noun	tr	a rule which uses derivatives to help evaluate limits involving indeterminate forms	por	regra de L'Hôpital	f
eng	L'Hôpital's rule	Proper noun	tr	a rule which uses derivatives to help evaluate limits involving indeterminate forms	por	regra de L'Hospital	f
eng	L'Hospitalet de Llobregat	Proper noun	tr	city	cat	L'Hospitalet de Llobregat	m
eng	L'Hospitalet de Llobregat	Proper noun	tr	city	spa	Hospitalet de Llobregat	m
