	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	LD50	Noun	tr		fra	DL50	f
eng	LD50	Noun	tr		fra	dose létale 50	f
eng	LD50	Noun	tr		fra	dose létale médiane	f
eng	LD50	Noun	tr		jpn	半数致死量	tr=hansū chishiryō
eng	LDPE	Noun	tr	low-density polyethylene	fra	PEBD
eng	LDPE	Noun	tr	low-density polyethylene	mul	PE-LD
eng	LDP	Proper noun	tr	Liberal Democratic Party of Japan	fra	PLD	m
eng	LDS	Noun	tr	Mormon church	fra	SDJ
eng	LDS	Noun	tr	Mormon church	rus	СПД
eng	LDS	Noun	tr	Mormon church	spa	SUD
