	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Lhasa apso	Noun	tr	dog	est	lhasa apso
eng	Lhasa apso	Noun	tr	dog	fin	apso
eng	Lhasa apso	Noun	tr	dog	fin	lhasa apso
eng	Lhasa apso	Noun	tr	dog	fra	Lhassa apso
eng	Lhasa apso	Noun	tr	dog	swe	lhasa apso
eng	Lhasa	Proper noun	tr	Capital of Tibet	ara	لَاسَا	f
eng	Lhasa	Proper noun	tr	Capital of Tibet	bel	Лхаса	f
eng	Lhasa	Proper noun	tr	Capital of Tibet	bod	ལྷ་ས
eng	Lhasa	Proper noun	tr	Capital of Tibet	bua	Һаса
eng	Lhasa	Proper noun	tr	Capital of Tibet	ces	Lhasa	f
eng	Lhasa	Proper noun	tr	Capital of Tibet	cmn	拉萨	tr=Lāsà	sc=Hani
eng	Lhasa	Proper noun	tr	Capital of Tibet	cmn	拉薩	sc=Hani
eng	Lhasa	Proper noun	tr	Capital of Tibet	deu	Lhasa
eng	Lhasa	Proper noun	tr	Capital of Tibet	ell	Λάσα
eng	Lhasa	Proper noun	tr	Capital of Tibet	epo	Lasao
eng	Lhasa	Proper noun	tr	Capital of Tibet	fin	Lhasa
eng	Lhasa	Proper noun	tr	Capital of Tibet	fra	Lhassa
eng	Lhasa	Proper noun	tr	Capital of Tibet	gle	Lása	m
eng	Lhasa	Proper noun	tr	Capital of Tibet	hbs	Lasa	f
eng	Lhasa	Proper noun	tr	Capital of Tibet	hbs	Ласа	f
eng	Lhasa	Proper noun	tr	Capital of Tibet	hin	ल्हासा
eng	Lhasa	Proper noun	tr	Capital of Tibet	hun	Lhásza
eng	Lhasa	Proper noun	tr	Capital of Tibet	jpn	ラサ	tr=Rasa
eng	Lhasa	Proper noun	tr	Capital of Tibet	kat	ლჰასა
eng	Lhasa	Proper noun	tr	Capital of Tibet	kor	^라싸
eng	Lhasa	Proper noun	tr	Capital of Tibet	mar	ल्हासा
eng	Lhasa	Proper noun	tr	Capital of Tibet	mon	Лхас
eng	Lhasa	Proper noun	tr	Capital of Tibet	mon	ᡀᠠᠰᠠ
eng	Lhasa	Proper noun	tr	Capital of Tibet	nep	लासा
eng	Lhasa	Proper noun	tr	Capital of Tibet	ori	ଲାସା
eng	Lhasa	Proper noun	tr	Capital of Tibet	pol	Lhasa	f
eng	Lhasa	Proper noun	tr	Capital of Tibet	por	Lassa
eng	Lhasa	Proper noun	tr	Capital of Tibet	rus	Ла́са	f
eng	Lhasa	Proper noun	tr	Capital of Tibet	rus	Лха́са	f
eng	Lhasa	Proper noun	tr	Capital of Tibet	slk	Lhasa	f
eng	Lhasa	Proper noun	tr	Capital of Tibet	spa	Lhasa
eng	Lhasa	Proper noun	tr	Capital of Tibet	tha	ลาซา	tr=laasaa
eng	Lhasa	Proper noun	tr	Capital of Tibet	uig	لخاسا
eng	Lhasa	Proper noun	tr	Capital of Tibet	vie	Lhasa
eng	Lhasa	Proper noun	tr	Capital of Tibet	yue	拉萨	tr=laai1 saat3
eng	Lhasa	Proper noun	tr	Capital of Tibet	yue	拉薩
eng	Lhasa	Proper noun	tr	Capital of Tibet	zha	Lahsaz
eng	Lhoba	Noun	tr	ethnic group	bod	ལྷོ་པ
eng	Lhoba	Noun	tr	ethnic group	cmn	珞巴
eng	Lhoba	Noun	tr	ethnic group	cmn	珞巴	tr=Luòbā
eng	Lhoba	Noun	tr	ethnic group	cmn	珞巴族
eng	Lhoba	Noun	tr	ethnic group	cmn	珞巴族	tr=Luòbāzú
eng	Lhotse	Proper noun	tr	Himalayan mountain	ces	Lhoce	f
eng	Lhotse	Proper noun	tr	Himalayan mountain	cmn	洛子峰	tr=Luòzǐ Fēng
