	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Llandovery	Proper noun	tr	Llandovery epoch	ell	Λανδοβέρια	f
eng	Llandovery	Proper noun	tr	Llandovery epoch	est	llandovery
eng	Llangollen	Proper noun	tr	town	cym	Llangollen
eng	Llap	Proper noun	tr	region	hbs	Labsko
eng	Llap	Proper noun	tr	region	hbs	Лабско
eng	Llap	Proper noun	tr	region	sqi	Llapit
eng	Llap	Proper noun	tr	river	hbs	Lab
eng	Llap	Proper noun	tr	river	hbs	Лаб
eng	Llap	Proper noun	tr	river	sqi	Llapi
eng	Lleida	Proper noun	tr	city	cat	Lleida
eng	Lleida	Proper noun	tr	city	glg	Lleida	f
eng	Lleida	Proper noun	tr	city	lat	Ilerda	f
eng	Lleida	Proper noun	tr	city	oci	Lhèida
eng	Lleida	Proper noun	tr	city	spa	Lérida	f
