	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ltd.	Noun	tr		ces	spol. s r. o.
eng	Ltd.	Noun	tr		deu	G. m. b. H.
eng	Ltd.	Noun	tr		deu	GmbH
eng	Ltd.	Noun	tr		fra	SARL
eng	Ltd.	Noun	tr		gle	Teo.
eng	Ltd.	Noun	tr		heb	בעמ	sc=Hebr
eng	Ltd.	Noun	tr		hun	kft.
eng	Ltd.	Noun	tr		hye	ՍՊԸ
eng	Ltd.	Noun	tr		jpn	有	tr=yū
eng	Ltd.	Noun	tr		kan	ನಿ	sc=Knda
eng	Ltd.	Noun	tr		kat	შპს
eng	Ltd.	Noun	tr		nld	bvba
eng	Ltd.	Noun	tr		nor	AS
eng	Ltd.	Noun	tr		pol	sp. z o.o.
eng	Ltd.	Noun	tr		vie	công ty TNHH
