	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	löllingite	Noun	tr	iron arsenide mineral	deu	Löllingit	n
eng	Löwchen	Noun	tr	Löwchen	ces	lvíček	m
eng	Löwchen	Noun	tr	Löwchen	deu	Löwchen	n
eng	Löwchen	Noun	tr	Löwchen	fin	löwchen
eng	Löwchen	Noun	tr	Löwchen	fin	pienileijonakoira
eng	Löwchen	Noun	tr	Löwchen	fra	petit chien lion	m
eng	Löwchen	Noun	tr	Löwchen	hbs	mali lavlji pas	m
eng	Löwchen	Noun	tr	Löwchen	hun	kis oroszlánkutya
eng	Löwchen	Noun	tr	Löwchen	ind	anjing singa kecil
eng	Löwchen	Noun	tr	Löwchen	isl	litli ljónahundur	m
eng	Löwchen	Noun	tr	Löwchen	ita	piccolo cane leone	m
eng	Löwchen	Noun	tr	Löwchen	lit	šuo liūtukas	m
eng	Löwchen	Noun	tr	Löwchen	msa	anjing singa kecil
eng	Löwchen	Noun	tr	Löwchen	nld	Leeuwhondje	n
eng	Löwchen	Noun	tr	Löwchen	pol	lwi piesek	m
eng	Löwchen	Noun	tr	Löwchen	por	pequeno cão leão	m
eng	Löwchen	Noun	tr	Löwchen	rus	малая львиная соба́ка	f
eng	Löwchen	Noun	tr	Löwchen	slk	levíček	m
eng	Löwchen	Noun	tr	Löwchen	slv	levček	m
eng	Löwchen	Noun	tr	Löwchen	spa	pequeño perro león	m
eng	Löwchen	Noun	tr	Löwchen	swe	loöwchen	c
