	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Mbabane	Proper noun	tr	capital of Eswatini	ara	مْبَابَانِي	f	tr=mbabanī
eng	Mbabane	Proper noun	tr	capital of Eswatini	cmn	姆巴巴納
eng	Mbabane	Proper noun	tr	capital of Eswatini	cmn	姆巴巴纳	tr=Mǔbābānà
eng	Mbabane	Proper noun	tr	capital of Eswatini	dan	Mbabane	n
eng	Mbabane	Proper noun	tr	capital of Eswatini	epo	Mbabano
eng	Mbabane	Proper noun	tr	capital of Eswatini	jpn	ムババネ	tr=Mubabane
eng	Mbabane	Proper noun	tr	capital of Eswatini	kor	^음바바네
eng	Mbabane	Proper noun	tr	capital of Eswatini	por	Mbabane	f
eng	Mbabane	Proper noun	tr	capital of Eswatini	rus	Мбаба́не	m	tr=Mbabánɛ
eng	Mbabane	Proper noun	tr	capital of Eswatini	spa	Mbabane
eng	Mbabane	Proper noun	tr	capital of Eswatini	ssw	eMbabane
eng	Mbabane	Proper noun	tr	capital of Eswatini	vie	Mơ-ba-ban
eng	Mbeki	Proper noun	tr		afr	Mbeki
eng	Mbeki	Proper noun	tr		nld	Mbeki
eng	MB	Noun	tr	megabyte	deu	MB
eng	MB	Noun	tr	megabyte	fra	Mo
eng	MB	Noun	tr	megabyte	kat	მბ
eng	MB	Noun	tr	megabyte	kat	მბაიტი
eng	MB	Noun	tr	megabyte	rus	Мб
eng	MB	Noun	tr	megabyte	swe	MB	c
eng	MB	Noun	tr	moneyboy (Chinese slang)	cmn	MB	tr=MB
eng	MBps	Noun	tr	megabytes per second	fra	Mo/s
