	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	ang	*Meolden	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	ang	Þunres Hamor	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	ara	مِيُولْنِير	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	cmn	妙尔尼尔	tr=Miàoěrníěr
eng	Mjollnir	Proper noun	tr	Thor's hammer	cmn	妙爾尼爾
eng	Mjollnir	Proper noun	tr	Thor's hammer	dan	Mjølner	c
eng	Mjollnir	Proper noun	tr	Thor's hammer	deu	Mjöllnir	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	deu	Mjölnir	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	ell	Μγιόλνιρ	n
eng	Mjollnir	Proper noun	tr	Thor's hammer	epo	Mjolniro
eng	Mjollnir	Proper noun	tr	Thor's hammer	fao	Mjølnir	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	fas	میولنیر	tr=Miyolnir
eng	Mjollnir	Proper noun	tr	Thor's hammer	fin	Mjölner
eng	Mjollnir	Proper noun	tr	Thor's hammer	fra	Mjollnir	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	fra	Mjolnir	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	hbs	Mjolnir	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	hbs	Мјолнир	m	sc=Cyrl
eng	Mjollnir	Proper noun	tr	Thor's hammer	heb	מיולניר	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	hye	Մյոլնիր
eng	Mjollnir	Proper noun	tr	Thor's hammer	isl	Mjölnir	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	jpn	ミョルニル	tr=Myoruniru
eng	Mjollnir	Proper noun	tr	Thor's hammer	kat	მიოლნირი
eng	Mjollnir	Proper noun	tr	Thor's hammer	kaz	Мьёлльнир
eng	Mjollnir	Proper noun	tr	Thor's hammer	kor	^묠니르
eng	Mjollnir	Proper noun	tr	Thor's hammer	lav	Mjelnirs	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	nno	Mjølne	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	nno	Mjølner	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	nob	Mjølner	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	non	Mjǫllnir	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	rus	Мьёллнир	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	rus	Мьёльнир	m
eng	Mjollnir	Proper noun	tr	Thor's hammer	swe	Mjölner	c
eng	Mjollnir	Proper noun	tr	Thor's hammer	ukr	Мйо́льнір	m
