	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	MS-DOS	Proper noun	tr		rus	МС-ДОС	m
eng	MS.	Noun	tr	abbreviation of ''manuscript''	ell	χγ.
eng	Ms	Noun	tr	title	deu	Frau	f
eng	Ms	Noun	tr	title	dsb	kněni	f
eng	Ms	Noun	tr	title	ell	Δδα
eng	Ms	Noun	tr	title	ell	Δις
eng	Ms	Noun	tr	title	epo	s-ino
eng	Ms	Noun	tr	title	khm	អ្នកនាង	tr=neak neang
eng	Ms	Noun	tr	title	rus	г-жа	f
eng	Ms	Noun	tr	title	rus	госпожа́	f
eng	MSP	Noun	tr	Member of Scottish Parliament	gla	BPA
eng	MSRP	Noun	tr	Manufacturer's suggested retail price	cmn	厂家建议零售价	tr=chǎngjiājiànyìlíngshòujià	sc=Hani
eng	MSRP	Noun	tr	Manufacturer's suggested retail price	cmn	製造商建議零售價	sc=Hani
eng	MSRP	Noun	tr	Manufacturer's suggested retail price	fin	ohjevähittäishinta
eng	MSRP	Noun	tr	Manufacturer's suggested retail price	fin	ohjevähittäismyyntihinta
eng	MSRP	Noun	tr	Manufacturer's suggested retail price	fin	ovh.
eng	MSRP	Noun	tr	Manufacturer's suggested retail price	fra	PDSC
eng	MSRP	Noun	tr	Manufacturer's suggested retail price	fra	PDSF
eng	MSRP	Noun	tr	Manufacturer's suggested retail price	hun	ajánlott fogyasztói ár
eng	MSRP	Noun	tr	Manufacturer's suggested retail price	spa	PVPR
eng	Mstsislaw	Proper noun	tr	town of Belarus	bel	Амсьці́слаў
eng	Mstsislaw	Proper noun	tr	town of Belarus	bel	Мсці́слаў
eng	Mstsislaw	Proper noun	tr	town of Belarus	bel	Мсьці́слаў
eng	Mstsislaw	Proper noun	tr	town of Belarus	lit	Mstislavlis
eng	Mstsislaw	Proper noun	tr	town of Belarus	pol	Mścisław
eng	Mstsislaw	Proper noun	tr	town of Belarus	rus	Мсти́славль
