	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	MVCC	Noun	tr		deu	Multiversion Concurrency Control	f
eng	MVC	Noun	tr		deu	Modell-Präsentation-Steuerung	f
eng	MVC	Noun	tr		tur	Model-View-Controller
eng	MVP	Noun	tr	minimum viable product	fra	produit minimum viable
eng	MVP	Noun	tr	minimum viable product	por	produto mínimo viável	m
eng	MVP	Noun	tr	minimum viable product	por	produto viável mínimo	m
eng	MVP	Noun	tr	minimum viable product	spa	producto mínimo viable	m
eng	MVP	Noun	tr	Most Valuable Player	cat	jugador més valuós	m
eng	MVP	Noun	tr	Most Valuable Player	jpn	MVP	tr=emubuipī
eng	MVP	Noun	tr	Most Valuable Player	jpn	最優秀選手	tr=saiyūshū senshu
eng	MVP	Noun	tr	Most Valuable Player	kor	최우수 선수
eng	MVP	Noun	tr	Most Valuable Player	kor	MVP	tr=embeuipi
eng	MVP	Noun	tr	Most Valuable Player	spa	jugador más valioso
eng	MVP	Noun	tr	Most Valuable Player	tur	en kıymetli oyuncu
