	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	mwah	Interjection	tr	sound of a kiss	cmn	mua
eng	mwah	Interjection	tr	sound of a kiss	cmn	么么哒	tr=memedā
eng	mwah	Interjection	tr	sound of a kiss	cmn	亲亲	tr=qīnqīn
eng	mwah	Interjection	tr	sound of a kiss	cmn	摸摸	tr=mōmō
eng	mwah	Interjection	tr	sound of a kiss	cmn	親親
eng	mwah	Interjection	tr	sound of a kiss	cmn	麼麼噠
eng	mwah	Interjection	tr	sound of a kiss	fin	muisku
eng	mwah	Interjection	tr	sound of a kiss	fin	pusi
eng	mwah	Interjection	tr	sound of a kiss	ita	pciù
eng	mwah	Interjection	tr	sound of a kiss	jpn	ちゅっ	tr=chu'
eng	mwah-mwah	Verb	tr	kiss in an exaggerated fashion	cmn	么么哒	tr=memedā
eng	mwah-mwah	Verb	tr	kiss in an exaggerated fashion	cmn	麼麼噠
eng	mwah-mwah	Verb	tr	kiss in an exaggerated fashion	fin	pussailla
eng	mwah	Noun	tr	sound of a fretless bass guitar	fin	muaa
eng	Mwani	Proper noun	tr	language of Mozambique	wmw	Kimwani
eng	Mwotlap	Proper noun	tr	language	fra	mwotlap	m
eng	Mwotlap	Proper noun	tr	language	mlv	M̄otlap
eng	Mwotlap	Proper noun	tr	language	rus	мвотла́п	m
