	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Mnemosyne	Proper noun	tr	Titaness	deu	Mnemosyne	f
eng	Mnemosyne	Proper noun	tr	Titaness	fra	Mnémosyne	f
eng	Mnemosyne	Proper noun	tr	Titaness	grc	Μνημοσύνη	f
eng	Mnemosyne	Proper noun	tr	Titaness	hun	Mnémoszüné	f
eng	Mnemosyne	Proper noun	tr	Titaness	iku	ᒻᓂᒧᓰᓂ	sc=Cans
eng	Mnemosyne	Proper noun	tr	Titaness	ita	Mnemosine	f
eng	Mnemosyne	Proper noun	tr	Titaness	jpn	ムネーモシュネー	tr=Munēmoshunē
eng	Mnemosyne	Proper noun	tr	Titaness	pol	Mnemosyne	f
eng	Mnemosyne	Proper noun	tr	Titaness	por	Mnemosine	f
eng	Mnemosyne	Proper noun	tr	Titaness	por	Mnemósine	f
eng	Mnemosyne	Proper noun	tr	Titaness	rus	Мнемози́на	f
eng	Mnemosyne	Proper noun	tr	Titaness	rus	Мнемоси́на	f
eng	Mnemosyne	Proper noun	tr	Titaness	spa	Mnemosina	f
eng	Mnemosyne	Proper noun	tr	Titaness	spa	Mnemósine	f
eng	Mnemosyne	Proper noun	tr	Titaness	swa	Mnemosine
eng	Mnuchin	Proper noun	tr	Jewish surname	rus	Менухин
eng	Mnuchin	Proper noun	tr	Jewish surname	rus	Минухин
eng	Mnuchin	Proper noun	tr	Jewish surname	rus	Мнухин
eng	Mnuchin	Proper noun	tr	Jewish surname	rus	Мнушкин
