	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Myanmar	Proper noun	tr		afr	Mianmar
eng	Myanmar	Proper noun	tr		amh	በርማ
eng	Myanmar	Proper noun	tr		ara	بِرْمَانْيَا	f
eng	Myanmar	Proper noun	tr		ara	بُورْمَا	f	tr=burmā
eng	Myanmar	Proper noun	tr		ara	مِيَانْمَار	f
eng	Myanmar	Proper noun	tr		asm	ম্যানমাৰ
eng	Myanmar	Proper noun	tr		ast	Myanmar
eng	Myanmar	Proper noun	tr		aze	Myanma
eng	Myanmar	Proper noun	tr		bak	Мьянма
eng	Myanmar	Proper noun	tr		bel	Бі́рма	f
eng	Myanmar	Proper noun	tr		bel	М'я́нма	f
eng	Myanmar	Proper noun	tr		bel	М'я́нмар	m
eng	Myanmar	Proper noun	tr		ben	বার্মা
eng	Myanmar	Proper noun	tr		ben	ব্রহ্মদেশ
eng	Myanmar	Proper noun	tr		ben	মায়ানমার
eng	Myanmar	Proper noun	tr		bod	བྷར་མ
eng	Myanmar	Proper noun	tr		bre	Myanmar
eng	Myanmar	Proper noun	tr		bul	Би́рма	f
eng	Myanmar	Proper noun	tr		bul	Миа́нмар	m
eng	Myanmar	Proper noun	tr		cat	Myanmar	m
eng	Myanmar	Proper noun	tr		ces	Myanmar	m
eng	Myanmar	Proper noun	tr		cmn	緬甸
eng	Myanmar	Proper noun	tr		cmn	缅甸	tr=Miǎndiàn
eng	Myanmar	Proper noun	tr		dan	Myanmar
eng	Myanmar	Proper noun	tr		deu	Myanmar	n
eng	Myanmar	Proper noun	tr		div	ބަރުމާ
eng	Myanmar	Proper noun	tr		div	މިއަންމާ
eng	Myanmar	Proper noun	tr		dzo	མེ་མར
eng	Myanmar	Proper noun	tr		ell	Βιρμανία	f
eng	Myanmar	Proper noun	tr		ell	Μυανμάρ	n
eng	Myanmar	Proper noun	tr		epo	Birmo
eng	Myanmar	Proper noun	tr		epo	Mjanmao
eng	Myanmar	Proper noun	tr		est	Birma
eng	Myanmar	Proper noun	tr		est	Myanmar
eng	Myanmar	Proper noun	tr		fas	برمه	tr=berme
eng	Myanmar	Proper noun	tr		fas	میانمار	tr=myânmâr
eng	Myanmar	Proper noun	tr		fin	Myanmar
eng	Myanmar	Proper noun	tr		fra	Birmanie	f
eng	Myanmar	Proper noun	tr		fra	Myanmar	m
eng	Myanmar	Proper noun	tr		gle	Maenmar	f
eng	Myanmar	Proper noun	tr		glg	Birmania
eng	Myanmar	Proper noun	tr		glg	Myanmar
eng	Myanmar	Proper noun	tr		glv	Burmey	f	alt=Yn Vurmey
eng	Myanmar	Proper noun	tr		guj	બ્રહ્મદેશ
eng	Myanmar	Proper noun	tr		hau	Bama
eng	Myanmar	Proper noun	tr		hau	Miyamar
eng	Myanmar	Proper noun	tr		hau	Myanmar
eng	Myanmar	Proper noun	tr		hbs	Mijanmar	m
eng	Myanmar	Proper noun	tr		hbs	Mjȁnma	m
eng	Myanmar	Proper noun	tr		hbs	Мијанмар	m
eng	Myanmar	Proper noun	tr		hbs	Мја̏нма	m
eng	Myanmar	Proper noun	tr		heb	מיאנמר	tr=myanmar
eng	Myanmar	Proper noun	tr		hin	बरमा
eng	Myanmar	Proper noun	tr		hin	बर्मा	m
eng	Myanmar	Proper noun	tr		hin	ब्रह्मदेश
eng	Myanmar	Proper noun	tr		hin	म्यानमार
eng	Myanmar	Proper noun	tr		hin	म्यान्मा	m
eng	Myanmar	Proper noun	tr		hin	म्यान्मार	m
eng	Myanmar	Proper noun	tr		hun	Mianmar
eng	Myanmar	Proper noun	tr		hye	Բիրմա
eng	Myanmar	Proper noun	tr		hye	Մյանմա
eng	Myanmar	Proper noun	tr		ina	Myanmar
eng	Myanmar	Proper noun	tr		ind	Myanmar
eng	Myanmar	Proper noun	tr		isl	Búrma	f
eng	Myanmar	Proper noun	tr		isl	Mjanmar
eng	Myanmar	Proper noun	tr		ita	Myanmar
eng	Myanmar	Proper noun	tr		jpn	ビルマ	tr=Biruma
eng	Myanmar	Proper noun	tr		jpn	ミャンマー	tr=Myanmā
eng	Myanmar	Proper noun	tr		kan	ಬರ್ಮ
eng	Myanmar	Proper noun	tr		kas	बर्मा
eng	Myanmar	Proper noun	tr		kat	ბირმა
eng	Myanmar	Proper noun	tr		kat	მიანმარი
eng	Myanmar	Proper noun	tr		kaz	Мьянма
eng	Myanmar	Proper noun	tr		khb	ᦙᦱᧃᧈ
eng	Myanmar	Proper noun	tr		khm	ភូមា
eng	Myanmar	Proper noun	tr		khm	មីយ៉ាន់ម៉ា
eng	Myanmar	Proper noun	tr		kir	Мьянма
eng	Myanmar	Proper noun	tr		kmr	Birmanya
eng	Myanmar	Proper noun	tr		kmr	Burma
eng	Myanmar	Proper noun	tr		kmr	Miyanmar
eng	Myanmar	Proper noun	tr		kor	^버마
eng	Myanmar	Proper noun	tr		kor	^먄마
eng	Myanmar	Proper noun	tr		kor	^미얀마
eng	Myanmar	Proper noun	tr		lao	ພະມ້າ
eng	Myanmar	Proper noun	tr		lao	ມຽນມາ
eng	Myanmar	Proper noun	tr		lat	Birmania	f
eng	Myanmar	Proper noun	tr		lav	Mjanma	f
eng	Myanmar	Proper noun	tr		lit	Mianmaras	m
eng	Myanmar	Proper noun	tr		mal	മ്യാൻമാർ
eng	Myanmar	Proper noun	tr		mar	ब्रह्मदेश
eng	Myanmar	Proper noun	tr		mkd	Бу́рма	f
eng	Myanmar	Proper noun	tr		mkd	Мја́нмар	m
eng	Myanmar	Proper noun	tr		mlt	Mjanmar
eng	Myanmar	Proper noun	tr		mnw	ဍုၚ်ဗၟာ
eng	Myanmar	Proper noun	tr		mon	Мьянмар
eng	Myanmar	Proper noun	tr		mri	Maiāma
eng	Myanmar	Proper noun	tr		mri	Pēma
eng	Myanmar	Proper noun	tr		mww	pha mab
eng	Myanmar	Proper noun	tr		mya	ဗမာ
eng	Myanmar	Proper noun	tr		mya	မြန်မာ
eng	Myanmar	Proper noun	tr		nan	緬甸
eng	Myanmar	Proper noun	tr		nan	缅甸	tr=Bián-tián
eng	Myanmar	Proper noun	tr		nav	Mííanmáa
eng	Myanmar	Proper noun	tr		nep	ब्रह्मदेश
eng	Myanmar	Proper noun	tr		nep	म्यानमार
eng	Myanmar	Proper noun	tr		nld	Myanmar
eng	Myanmar	Proper noun	tr		nor	Burma
eng	Myanmar	Proper noun	tr		nor	Myanmar
eng	Myanmar	Proper noun	tr		nrf	Myanmar	m
eng	Myanmar	Proper noun	tr		ori	ମିଆଁମାର
eng	Myanmar	Proper noun	tr		pan	ਬਰਮਾ
eng	Myanmar	Proper noun	tr		pan	ਬ੍ਰਹਮਦੇਸ਼
eng	Myanmar	Proper noun	tr		pan	ਮਿਆਂਮਾਰ	m
eng	Myanmar	Proper noun	tr		pnb	برما	m
eng	Myanmar	Proper noun	tr		pnb	برہمدیش	m
eng	Myanmar	Proper noun	tr		pnb	میانمار	m
eng	Myanmar	Proper noun	tr		pol	Birma	f
eng	Myanmar	Proper noun	tr		pol	Mianma	f
eng	Myanmar	Proper noun	tr		pol	Myanmar	m-in
eng	Myanmar	Proper noun	tr		por	Birmânia	f
eng	Myanmar	Proper noun	tr		por	Mianmar	m
eng	Myanmar	Proper noun	tr		pus	برما	tr=bərmā
eng	Myanmar	Proper noun	tr		pus	ماينامار	tr=miyānmār
eng	Myanmar	Proper noun	tr		ron	Myanmar	n
eng	Myanmar	Proper noun	tr		rus	Би́рма	f
eng	Myanmar	Proper noun	tr		rus	Мья́нма	f
eng	Myanmar	Proper noun	tr		san	ब्रह्मदेश
eng	Myanmar	Proper noun	tr		sat	ᱢᱤᱭᱟᱱᱢᱟᱨ
eng	Myanmar	Proper noun	tr		shn	မိူင်းမၢၼ်ႈ
eng	Myanmar	Proper noun	tr		sin	බුරුමය
eng	Myanmar	Proper noun	tr		sin	මියන්‍මාරය
eng	Myanmar	Proper noun	tr		slk	Mjanmarsko	n
eng	Myanmar	Proper noun	tr		slv	Mjanmár	m
eng	Myanmar	Proper noun	tr		snd	ميانمار
eng	Myanmar	Proper noun	tr		spa	Birmania
eng	Myanmar	Proper noun	tr		spa	Myanmar	m
eng	Myanmar	Proper noun	tr		sqi	Birmania
eng	Myanmar	Proper noun	tr		sqi	Mjanmar
eng	Myanmar	Proper noun	tr		swe	Burma
eng	Myanmar	Proper noun	tr		swe	Myanmar
eng	Myanmar	Proper noun	tr		tam	பர்மா
eng	Myanmar	Proper noun	tr		tam	மியான்மார்
eng	Myanmar	Proper noun	tr		tat	Мьянма
eng	Myanmar	Proper noun	tr		tel	బర్మా
eng	Myanmar	Proper noun	tr		tgk	Бирма
eng	Myanmar	Proper noun	tr		tgk	Миёнмор
eng	Myanmar	Proper noun	tr		tgk	Мянма
eng	Myanmar	Proper noun	tr		tgl	Birmanya
eng	Myanmar	Proper noun	tr		tha	พม่า
eng	Myanmar	Proper noun	tr		tha	เมียนมา
eng	Myanmar	Proper noun	tr		tuk	Mýanma
eng	Myanmar	Proper noun	tr		tur	Birmanya
eng	Myanmar	Proper noun	tr		tur	Myanmar
eng	Myanmar	Proper noun	tr		uig	بىرما
eng	Myanmar	Proper noun	tr		ukr	Бі́рма	f
eng	Myanmar	Proper noun	tr		ukr	М'я́нма	f
eng	Myanmar	Proper noun	tr		urd	برما	m	tr=barmā
eng	Myanmar	Proper noun	tr		urd	میانمار	tr=myānmār
eng	Myanmar	Proper noun	tr		uzb	Myanma
eng	Myanmar	Proper noun	tr		vie	Mi-an-ma
eng	Myanmar	Proper noun	tr		vie	Miến Điện
eng	Myanmar	Proper noun	tr		vie	Myanma
eng	Myanmar	Proper noun	tr		vie	緬甸
eng	Myanmar	Proper noun	tr		wuu	緬甸
eng	Myanmar	Proper noun	tr		wuu	缅甸	tr=mi di
eng	Myanmar	Proper noun	tr		yid	מיאַנמאַר
eng	Myanmar	Proper noun	tr		yor	Manamari
eng	Myanmar	Proper noun	tr		yue	緬甸
eng	Myanmar	Proper noun	tr		yue	缅甸	tr=min5 din6
eng	Myanmar	Proper noun	tr		zha	Menjden
eng	Myawaddy	Proper noun	tr	Town in Kayin State, Burma	mya	မြဝတီ
eng	Myawaddy	Proper noun	tr	Town in Kayin State, Burma	tha	เมียวดี
eng	Mycenaean	Adjective	tr	relating to Mycenae	bul	микенски
eng	Mycenaean	Adjective	tr	relating to Mycenae	cat	micènic	m
eng	Mycenaean	Adjective	tr	relating to Mycenae	ces	mykénský
eng	Mycenaean	Adjective	tr	relating to Mycenae	cym	Myseneaidd
eng	Mycenaean	Adjective	tr	relating to Mycenae	deu	mykenisch
eng	Mycenaean	Adjective	tr	relating to Mycenae	ell	μυκηναϊκός	m
eng	Mycenaean	Adjective	tr	relating to Mycenae	fra	mycénien
eng	Mycenaean	Adjective	tr	relating to Mycenae	hun	mükénéi
eng	Mycenaean	Adjective	tr	relating to Mycenae	mkd	микенски
eng	Mycenaean	Adjective	tr	relating to Mycenae	nld	Myceens
eng	Mycenaean	Adjective	tr	relating to Mycenae	pol	miceński
eng	Mycenaean	Adjective	tr	relating to Mycenae	pol	mykeński
eng	Mycenaean	Adjective	tr	relating to Mycenae	por	micênico	m
eng	Mycenaean	Adjective	tr	relating to Mycenae	rus	мике́нский
eng	Mycenaean	Adjective	tr	relating to Mycenae	swe	mykensk
eng	Mycenaean Greek	Noun	tr	ancient Greek language	ell	μυκηναϊκή διάλεκτος	f	sc=Grek
eng	Mycenaean Greek	Noun	tr	ancient Greek language	glg	grego micénico	m
eng	Mycenaean Greek	Noun	tr	ancient Greek language	por	Grego micênico	m
eng	Mycenaean	Noun	tr	a native of Mycenae	cat	micènic	m
eng	Mycenaean	Noun	tr	a native of Mycenae	ces	Mykéňan	m
eng	Mycenaean	Noun	tr	a native of Mycenae	cym	Mysenead	m	f
eng	Mycenaean	Noun	tr	a native of Mycenae	ell	Μυκηναία	f
eng	Mycenaean	Noun	tr	a native of Mycenae	ell	Μυκηναίος	m
eng	Mycenaean	Noun	tr	a native of Mycenae	mkd	Микенец	f
eng	Mycenaean	Noun	tr	a native of Mycenae	mkd	Микенка	f
eng	Mycenaean	Noun	tr	a native of Mycenae	pol	Mykeńczyk	m
eng	Mycenaean	Noun	tr	a native of Mycenae	por	micênico	m
eng	Mycenae	Proper noun	tr	city	ces	Mykény	f-p
eng	Mycenae	Proper noun	tr	city	deu	Mykenä
eng	Mycenae	Proper noun	tr	city	deu	Mykene
eng	Mycenae	Proper noun	tr	city	ell	Μυκήνες	f-p
eng	Mycenae	Proper noun	tr	city	grc	Μυκῆναι	f-p
eng	Mycenae	Proper noun	tr	city	haw	Mukānai
eng	Mycenae	Proper noun	tr	city	hun	Mükéné
eng	Mycenae	Proper noun	tr	city	mkd	Мике́на	f
eng	Mycenae	Proper noun	tr	city	pol	Mykeny	f-p
eng	Mycenae	Proper noun	tr	city	por	Micenas	f
eng	Mycenae	Proper noun	tr	city	rus	Мике́ны	f-p
eng	Mycenae	Proper noun	tr	city	spa	Micenas
eng	Mycenae	Proper noun	tr	city	swe	Mykene	n
eng	Mycenae	Proper noun	tr	city	tur	Miken
eng	Myeik	Proper noun	tr	City in southern Burma	mnw	ဗိက်	tr=pòik
eng	Myeik	Proper noun	tr	City in southern Burma	mya	မြိတ်မြို့
eng	Myeik	Proper noun	tr	City in southern Burma	tha	มะริด	tr=marit
eng	Myingyan	Proper noun	tr	Town in Mandalay Region, Burma	mya	မြင်းခြံ
eng	Myitkyina	Proper noun	tr	Town in Kachin State, Myanmar	cmn	密支那	tr=Mìzhīnà
eng	Myitkyina	Proper noun	tr	Town in Kachin State, Myanmar	kac	Myitkyina
eng	Myitkyina	Proper noun	tr	Town in Kachin State, Myanmar	lsi	Myitkyina
eng	Myitkyina	Proper noun	tr	Town in Kachin State, Myanmar	mya	မြစ်ကြီးနား
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	bel	Мікала́еў	m
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	bul	Никола́ев	m
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	ces	Mykolajiv	m
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	ces	Nikolajev	m
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	dan	Mykolajiv
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	dan	Nikolajev
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	hye	Նիկոլաև
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	kat	ნიკოლაევი
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	mkd	Никола́ев	m
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	pol	Mikołajów	m
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	rue	Микола́їв	m
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	rus	Никола́ев	m
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	tur	Mıkolayiv
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	tur	Nikolayev
eng	Mykolaiv	Proper noun	tr	a city in Ukraine	ukr	Микола́їв	m
eng	Mykonos	Proper noun	tr	island	ell	Μύκονος	f
eng	Mykonos	Proper noun	tr	island	fra	Myconos
eng	Mykonos	Proper noun	tr	island	fra	Mykonos
eng	Mykonos	Proper noun	tr	island	jpn	ミコノス島	tr=Mikonosu tō
eng	Mymensingh District	Proper noun	tr	Mymensingh District	ben	ময়মনসিংহ জেলা	sc=Beng
eng	Myōken	Proper noun	tr		bod	
eng	Myōken	Proper noun	tr		cmn	妙見菩薩
eng	Myōken	Proper noun	tr		jpn	北辰妙見菩薩
eng	Myōken	Proper noun	tr		jpn	妙見尊星王
eng	Myōken	Proper noun	tr		jpn	妙見菩薩
eng	Myōken	Proper noun	tr		kor	존성왕
eng	Myōken	Proper noun	tr		kor	묘견보살
eng	Myōken	Proper noun	tr		san	सुदर्शन
eng	Myōken	Proper noun	tr		san	सुदृष्टि
eng	Myōken	Proper noun	tr		vie	Diệu Kiến Bồ Tát
eng	Myōken	Proper noun	tr		vie	Tôn Tinh Vương
eng	Myra	Proper noun	tr	fermale given name	jpn	マイラ	tr=Maira
eng	Myra	Proper noun	tr	fermale given name	kor	^마이라
eng	Myra	Proper noun	tr	fermale given name	rus	Майра	m
eng	Myra	Proper noun	tr	fermale given name	vie	Mai-ra
eng	Myra	Proper noun	tr	fermale given name	vie	Myra
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	ara	المرميديون	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	dan	myrmidoner	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	deu	Ameisen-Menschen	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	deu	Myrmidonen	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	ell	Μυρμιδόνες	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	fin	myrmidonit
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	fra	myrmidons	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	hun	mürmidónok
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	ita	mirmidoni	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	jpn	ミュルミドーン人	tr=myurumidonjin
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	lat	Myrmidones	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	nor	myrmidonere	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	pol	Myrmidonowie	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	por	mirmidões	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	rus	Мирмидоняне	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	spa	mirmidón	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	swe	myrmidonerna	m
eng	Myrmidon	Noun	tr	mythical warriors of Achilles	tur	Myrmidonlar
eng	Mysian	Adjective	tr	of, or relating to Mysia	gle	Misiach
eng	Mysian	Adjective	tr	of, or relating to Mysia	rus	мизийский
eng	Mysian	Adjective	tr	of, or relating to Mysia	spa	misio
eng	Mysian	Noun	tr	native or inhabitant of ancient Mysia	gle	Misiach	m
eng	Mysian	Noun	tr	native or inhabitant of ancient Mysia	gle	Misiaigh	m-p
eng	Mysian	Noun	tr	native or inhabitant of ancient Mysia	grc	Μυσός
eng	Mysian	Noun	tr	native or inhabitant of ancient Mysia	rus	мизиец
eng	Mysian	Noun	tr	native or inhabitant of ancient Mysia	spa	misia	f
eng	Mysian	Noun	tr	native or inhabitant of ancient Mysia	spa	misio	m
eng	Mysian	Proper noun	tr	language	hye	միզիերեն
eng	Mysian	Proper noun	tr	language	rus	мизийский
eng	Mysia	Proper noun	tr	ancient region	dan	Mysien
eng	Mysia	Proper noun	tr	ancient region	deu	Mysien
eng	Mysia	Proper noun	tr	ancient region	fra	Mysie
eng	Mysia	Proper noun	tr	ancient region	gle	Misia	f	alt=an Mhisia
eng	Mysia	Proper noun	tr	ancient region	grc	Μυσία	sc=polytonic
eng	Mysia	Proper noun	tr	ancient region	lat	Mȳsia	f
eng	Mysia	Proper noun	tr	ancient region	rus	Мизия
eng	Mysia	Proper noun	tr	ancient region	spa	Misia
eng	Mysłowice	Proper noun	tr	city in Poland	deu	Myslowitz
eng	Mysłowice	Proper noun	tr	city in Poland	pol	Mysłowice
eng	Mysłowice	Proper noun	tr	city in Poland	szl	Myslowicy
eng	Mysore	Proper noun	tr	city in India	ben	মহীশূর	sc=Beng
eng	Mysore	Proper noun	tr	city in India	cmn	迈索尔	tr=Màisuǒ'ěr	sc=Hani
eng	Mysore	Proper noun	tr	city in India	cmn	邁索爾	sc=Hani
eng	Mysore	Proper noun	tr	city in India	fas	میسور
eng	Mysore	Proper noun	tr	city in India	hin	मैसूर
eng	Mysore	Proper noun	tr	city in India	kan	ಮೈಸೂರು	sc=Knda
eng	Mysore	Proper noun	tr	city in India	kor	^마이소르
eng	Mysore	Proper noun	tr	city in India	mal	മൈസൂരു	sc=Mlym
eng	Mysore	Proper noun	tr	city in India	mar	म्हैसूर
eng	Mysore	Proper noun	tr	city in India	por	Maiçor	f
eng	Mysore	Proper noun	tr	city in India	por	Misore	f
eng	Mysore	Proper noun	tr	city in India	por	Mysore	f
eng	Mysore	Proper noun	tr	city in India	rus	Майсу́р	m
eng	Mysore	Proper noun	tr	city in India	san	महिषकम्	m
eng	Mysore	Proper noun	tr	city in India	tam	மைசூர்
eng	Mysore	Proper noun	tr	city in India	tel	మైసూరు
eng	Mysore	Proper noun	tr	city in India	urd	میسور	tr=maisūr
