	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	mâche	Noun	tr	''Valerianella locusta''	ces	polníček	m
eng	mâche	Noun	tr	''Valerianella locusta''	dan	tandfri vårsalat
eng	mâche	Noun	tr	''Valerianella locusta''	deu	Ackersalat
eng	mâche	Noun	tr	''Valerianella locusta''	deu	Nüsslisalat
eng	mâche	Noun	tr	''Valerianella locusta''	deu	Rapunzel
eng	mâche	Noun	tr	''Valerianella locusta''	deu	Vogerlsalat
eng	mâche	Noun	tr	''Valerianella locusta''	ell	μαρουλάκι
eng	mâche	Noun	tr	''Valerianella locusta''	ell	σμίρνηο
eng	mâche	Noun	tr	''Valerianella locusta''	fra	blanchette
eng	mâche	Noun	tr	''Valerianella locusta''	fra	boursette
eng	mâche	Noun	tr	''Valerianella locusta''	fra	clairette
eng	mâche	Noun	tr	''Valerianella locusta''	fra	doucette
eng	mâche	Noun	tr	''Valerianella locusta''	fra	mâche
eng	mâche	Noun	tr	''Valerianella locusta''	fra	mâche potagère
eng	mâche	Noun	tr	''Valerianella locusta''	fra	oreillette
eng	mâche	Noun	tr	''Valerianella locusta''	fra	rampon
eng	mâche	Noun	tr	''Valerianella locusta''	fra	salade de blé
eng	mâche	Noun	tr	''Valerianella locusta''	fra	valérianelle
eng	mâche	Noun	tr	''Valerianella locusta''	fra	valérianelle
eng	mâche	Noun	tr	''Valerianella locusta''	hbs	matovilac
eng	mâche	Noun	tr	''Valerianella locusta''	ita	gallinella commune
eng	mâche	Noun	tr	''Valerianella locusta''	ita	lattughella
eng	mâche	Noun	tr	''Valerianella locusta''	ita	valerianella
eng	mâche	Noun	tr	''Valerianella locusta''	jpn	コーンサラダ	tr=kōn sarada	sc=Jpan
eng	mâche	Noun	tr	''Valerianella locusta''	jpn	ノジシャ	tr=nojisha	sc=Jpan
eng	mâche	Noun	tr	''Valerianella locusta''	jpn	ノヂシャ	tr=nojisha	sc=Jpan
eng	mâche	Noun	tr	''Valerianella locusta''	jpn	マーシュ	tr=māshu	sc=Jpan
eng	mâche	Noun	tr	''Valerianella locusta''	nld	veldsla
eng	mâche	Noun	tr	''Valerianella locusta''	nor	vårsalat
eng	mâche	Noun	tr	''Valerianella locusta''	oci	doceta	f
eng	mâche	Noun	tr	''Valerianella locusta''	pol	roszponka warzywna	f
eng	mâche	Noun	tr	''Valerianella locusta''	pol	roszpunka warzywna	f
eng	mâche	Noun	tr	''Valerianella locusta''	por	alface
eng	mâche	Noun	tr	''Valerianella locusta''	rus	полево́й сала́т	m
eng	mâche	Noun	tr	''Valerianella locusta''	spa	canónigos
eng	mâche	Noun	tr	''Valerianella locusta''	spa	lechuga de campo
eng	mâche	Noun	tr	''Valerianella locusta''	swe	vårklynne
eng	mâche	Noun	tr	''Valerianella locusta''	swe	vårsallat
