	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Málaga	Proper noun	tr	port and city in Andalusia	acw	مالقة	f	tr=mālaga, mālga
eng	Málaga	Proper noun	tr	port and city in Andalusia	ara	مَالَقَة	f
eng	Málaga	Proper noun	tr	port and city in Andalusia	cat	Màlaga	f
eng	Málaga	Proper noun	tr	port and city in Andalusia	ell	Μάλαγα
eng	Málaga	Proper noun	tr	port and city in Andalusia	fra	Malaga
eng	Málaga	Proper noun	tr	port and city in Andalusia	glg	Málaga
eng	Málaga	Proper noun	tr	port and city in Andalusia	grc	Μάλακα	f
eng	Málaga	Proper noun	tr	port and city in Andalusia	hye	Մալագա
eng	Málaga	Proper noun	tr	port and city in Andalusia	lat	Malaca	f
eng	Málaga	Proper noun	tr	port and city in Andalusia	pol	Malaga	f
eng	Málaga	Proper noun	tr	port and city in Andalusia	pol	Málaga	f
eng	Málaga	Proper noun	tr	port and city in Andalusia	por	Málaga	f
eng	Málaga	Proper noun	tr	port and city in Andalusia	rus	Ма́лага
eng	Málaga	Proper noun	tr	port and city in Andalusia	spa	Málaga	f
