	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Ménière's disease	Noun	tr	a disorder of the inner ear	est	Ménière'i tõbi
eng	Ménière's disease	Noun	tr	a disorder of the inner ear	fin	Ménièren tauti
eng	Ménière's disease	Noun	tr	a disorder of the inner ear	ind	penyakit Ménière
eng	Ménière's disease	Noun	tr	a disorder of the inner ear	swe	Ménières sjukdom	c
eng	Mérida	Proper noun	tr	Spanish city	ara	مَارِيدَة	f	tr=marida
eng	Mérida	Proper noun	tr	Spanish city	ara	مِرِيدَا	f	tr=miridā
eng	Mérida	Proper noun	tr	Spanish city	cat	Mèrida
eng	Mérida	Proper noun	tr	Spanish city	ext	Méria
eng	Mérida	Proper noun	tr	Spanish city	fra	Mérida
eng	Mérida	Proper noun	tr	Spanish city	glg	Mérida
eng	Mérida	Proper noun	tr	Spanish city	lat	Augusta Emerita	f
eng	Mérida	Proper noun	tr	Spanish city	nld	Mérida
eng	Mérida	Proper noun	tr	Spanish city	spa	Mérida
eng	Mérigon	Proper noun	tr	a village in Ariège, France	fra	Mérigon
eng	Mérigon	Proper noun	tr	a village in Ariège, France	oci	Merigon
