	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Möbius group	Noun	tr	PGL(2,C)	nld	Möbius-groep	m	f
eng	Möbius group	Noun	tr	PGL(2,C)	spa	grupo de Möbius	m
eng	Möbius strip	Noun	tr	narrow strip given a half twist	cat	banda de Möbius	f
eng	Möbius strip	Noun	tr	narrow strip given a half twist	cat	cinta de Möbius	f
eng	Möbius strip	Noun	tr	narrow strip given a half twist	dan	möbiusbånd	n
eng	Möbius strip	Noun	tr	narrow strip given a half twist	deu	Möbiusband	n
eng	Möbius strip	Noun	tr	narrow strip given a half twist	fin	Möbiuksen nauha
eng	Möbius strip	Noun	tr	narrow strip given a half twist	pol	wstęga Möbiusa	f
eng	Möbius strip	Noun	tr	narrow strip given a half twist	rus	ле́нта Мёбиуса	f
eng	Möbius strip	Noun	tr	narrow strip given a half twist	rus	лист Мёбиуса	m
eng	Möbius strip	Noun	tr	narrow strip given a half twist	swe	Möbiusband	n
eng	Möbius strip	Noun	tr	narrow strip given a half twist	vie	dải Mobius
eng	Möbius strip	Noun	tr	one-sided surface	bul	лист на Мьобиус	m
eng	Möbius strip	Noun	tr	one-sided surface	cat	banda de Möbius	f
eng	Möbius strip	Noun	tr	one-sided surface	cat	cinta de Möbius	f
eng	Möbius strip	Noun	tr	one-sided surface	ces	Möbiova páska	f
eng	Möbius strip	Noun	tr	one-sided surface	cmn	莫比乌斯带	tr=mòbǐwūsī dài	sc=Hani
eng	Möbius strip	Noun	tr	one-sided surface	cmn	莫比烏斯帶	sc=Hani
eng	Möbius strip	Noun	tr	one-sided surface	dan	möbiusbånd	n
eng	Möbius strip	Noun	tr	one-sided surface	deu	Möbiusband	n
eng	Möbius strip	Noun	tr	one-sided surface	fin	Möbiuksen nauha
eng	Möbius strip	Noun	tr	one-sided surface	fra	ruban de Möbius	m
eng	Möbius strip	Noun	tr	one-sided surface	gle	stiall Möbius	f
eng	Möbius strip	Noun	tr	one-sided surface	glg	banda de Möbius	f
eng	Möbius strip	Noun	tr	one-sided surface	hbs	мебијусова трака	f
eng	Möbius strip	Noun	tr	one-sided surface	heb	טבעת מביוס	f
eng	Möbius strip	Noun	tr	one-sided surface	hun	Möbius-szalag
eng	Möbius strip	Noun	tr	one-sided surface	ido	Mobius-strio
eng	Möbius strip	Noun	tr	one-sided surface	ina	banda de Möbius
eng	Möbius strip	Noun	tr	one-sided surface	ind	pita Möbius
eng	Möbius strip	Noun	tr	one-sided surface	isl	Möbíusarræma	f
eng	Möbius strip	Noun	tr	one-sided surface	ita	nastro di Möbius	m
eng	Möbius strip	Noun	tr	one-sided surface	jpn	メビウスの帯	tr=mebiusu no obi
eng	Möbius strip	Noun	tr	one-sided surface	kor	뫼비우스의 띠
eng	Möbius strip	Noun	tr	one-sided surface	lat	moebii taenia	f
eng	Möbius strip	Noun	tr	one-sided surface	ltz	Möbiusschläif
eng	Möbius strip	Noun	tr	one-sided surface	nld	Möbiusband	m
eng	Möbius strip	Noun	tr	one-sided surface	nor	möbius’ bånd	n
eng	Möbius strip	Noun	tr	one-sided surface	pol	wstęga Möbiusa	f
eng	Möbius strip	Noun	tr	one-sided surface	por	fita de Möbius	f
eng	Möbius strip	Noun	tr	one-sided surface	rus	ле́нта Мёбиуса	f
eng	Möbius strip	Noun	tr	one-sided surface	rus	лист Мёбиуса	m
eng	Möbius strip	Noun	tr	one-sided surface	slv	Möbiusov trak	m
eng	Möbius strip	Noun	tr	one-sided surface	spa	banda de Möbius	f
eng	Möbius strip	Noun	tr	one-sided surface	spa	cinta de Möbius	f
eng	Möbius strip	Noun	tr	one-sided surface	swe	Möbiusband	n
eng	Möbius strip	Noun	tr	one-sided surface	ukr	стрічка Мебіуса	f
eng	Möbius strip	Noun	tr	one-sided surface	vie	mặt Mobius
eng	Möbius transformation	Noun	tr	transformation of the complex plane	deu	Möbiustransformation	f
eng	Möbius transformation	Noun	tr	transformation of the complex plane	fra	transformation de Möbius	f
eng	Möbius transformation	Noun	tr	transformation of the complex plane	ita	trasformazione di Möbius	f
eng	Möbius transformation	Noun	tr	transformation of the complex plane	nld	Möbius-transformatie	f
eng	Möbius transformation	Noun	tr	transformation of the complex plane	por	transformação de Möbius	f
eng	Möbius transformation	Noun	tr	transformation of the complex plane	spa	transformación de Möbius	f
eng	Möngke	Proper noun	tr	given name	hye	Մանգու
eng	Mörön	Proper noun	tr	a city in Mongolia	mon	Мөрөн	sc=Cyrl
eng	Mörön	Proper noun	tr	a city in Mongolia	mon	ᠮᠥᠷᠡᠨ	tr=Mören	sc=Mong
eng	Mörön	Proper noun	tr	a city in Mongolia	rus	Мурэ́н	m
eng	Mössbauer effect	Noun	tr	emission and absorption	fra	effet Mössbauer	m
