	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	N'Djamena	Proper noun	tr	capital city of Chad	ara	إِنْجَامِينَا	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	ara	نِجَامِينَا	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	bel	Нджаме́на	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	bel	Нджамэ́на	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	ces	N'Djamena
eng	N'Djamena	Proper noun	tr	capital city of Chad	cmn	恩賈梅納	sc=Hani
eng	N'Djamena	Proper noun	tr	capital city of Chad	cmn	恩贾梅纳	tr=Ēnjia3méinà	sc=Hani
eng	N'Djamena	Proper noun	tr	capital city of Chad	dan	N'Djamena
eng	N'Djamena	Proper noun	tr	capital city of Chad	deu	N'Djamena	n
eng	N'Djamena	Proper noun	tr	capital city of Chad	epo	Nĵameno
eng	N'Djamena	Proper noun	tr	capital city of Chad	fin	N'Djamena
eng	N'Djamena	Proper noun	tr	capital city of Chad	fra	Ndjamena	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	fra	N'Djamena	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	fra	N’Djaména	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	hye	Նջամենա
eng	N'Djamena	Proper noun	tr	capital city of Chad	jpn	エンジャメナ	tr=Enjamena
eng	N'Djamena	Proper noun	tr	capital city of Chad	jpn	ンジャメナ	tr=Njamena
eng	N'Djamena	Proper noun	tr	capital city of Chad	kor	^은자메나
eng	N'Djamena	Proper noun	tr	capital city of Chad	lit	Ndžamena	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	pol	Ndżamena	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	por	Jamena	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	por	N'Djamena	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	rus	Нджаме́на	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	spa	Yamena	f
eng	N'Djamena	Proper noun	tr	capital city of Chad	tur	N'Djamena	alt=Encemine
eng	N'Djamena	Proper noun	tr	capital city of Chad	vie	Nơ-gia-mê-na
