	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	NBC	Noun	tr		deu	ABC
eng	NBC	Noun	tr		fra	NBC
eng	NBC	Noun	tr		rus	Эн Би Си	m
eng	NB	Phrase	tr	nota bene	ces	pozn.
eng	NB	Phrase	tr	nota bene	cmn	注意	tr=zhu yi
eng	NB	Phrase	tr	nota bene	fin	Huom
eng	NB	Phrase	tr	nota bene	fin	HUOM
eng	NB	Phrase	tr	nota bene	nor	NB
eng	NB	Phrase	tr	nota bene	nor	Notabene
eng	NB	Phrase	tr	nota bene	swe	obs
eng	NB	Phrase	tr	nota bene	swe	observera
eng	NB	Proper noun	tr	New Brunswick	fra	NB
