	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	NKAO	Proper noun	tr	Nagorno-Karabakh Autonomous Oblast	hye	ԼՂԻՄ
eng	NKAO	Proper noun	tr	Nagorno-Karabakh Autonomous Oblast	rus	НКАО
eng	NKR	Proper noun	tr	Nagorno-Karabakh Republic (initialism)	aze	DQR
eng	NKR	Proper noun	tr	Nagorno-Karabakh Republic (initialism)	hye	ԼՂՀ
eng	NKR	Proper noun	tr	Nagorno-Karabakh Republic (initialism)	rus	НКР	m
eng	Nkulengu rail	Noun	tr	bird	deu	Rotfußralle	f
eng	NKVD	Proper noun	tr	Soviet NKVD	rus	НКВД	m
eng	NKVD	Proper noun	tr	Soviet NKVD	ukr	Народний комісаріат внутрішніх справ
eng	NKVD	Proper noun	tr	Soviet NKVD	ukr	НКВС
eng	NKVD	Proper noun	tr	Soviet NKVD	yid	ענקאַוועדע	f
