	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	NSA	Proper noun	tr	initialism: National Security Agency	rus	АНБ	n
eng	nshima	Noun	tr	porridge made from maize or sorghum	afr	mieliepap
eng	nshima	Noun	tr	porridge made from maize or sorghum	bem	nshima
eng	nshima	Noun	tr	porridge made from maize or sorghum	fra	nshima	m
eng	nshima	Noun	tr	porridge made from maize or sorghum	kin	ubugali
eng	nshima	Noun	tr	porridge made from maize or sorghum	luy	busuma
eng	nshima	Noun	tr	porridge made from maize or sorghum	nde	isitshwala
eng	nshima	Noun	tr	porridge made from maize or sorghum	nya	nsima
eng	nshima	Noun	tr	porridge made from maize or sorghum	por	chima	f
eng	nshima	Noun	tr	porridge made from maize or sorghum	sna	sadza
eng	nshima	Noun	tr	porridge made from maize or sorghum	swa	ugali
eng	nshima	Noun	tr	porridge made from maize or sorghum	tum	sima
