	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Nārada	Proper noun	tr		cmn	那羅陀佛	tr=Nàluótuó Fó
eng	Nārada	Proper noun	tr		khm	នារទៈ
eng	Nārada	Proper noun	tr		khm	ព្រះពុទ្ធនារទៈ
eng	Nārada	Proper noun	tr		mya	နာရဒ
eng	Nārada	Proper noun	tr		mya	နာရဒဘုရား
eng	Nārada	Proper noun	tr		pli	Nārada
eng	Nārada	Proper noun	tr		san	नारद
eng	Nārada	Proper noun	tr		sin	නාරද
eng	Nārada	Proper noun	tr		tel	నారదుడు
eng	Nārada	Proper noun	tr		tel	నారదుడు
eng	Nārada	Proper noun	tr		tha	นารท
eng	Nārada	Proper noun	tr		tha	พระนารทพุทธเจ้า
