	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	o-face	Noun	tr	facial expression made during orgasm	jpn	アヘ顔	tr=ahegao
eng	o-face	Noun	tr	facial expression made during orgasm	jpn	イキ顔	tr=ikigao	sc=Jpan
eng	O-ring	Noun	tr	circular gasket	bul	О-пръ́стен	m
eng	O-ring	Noun	tr	circular gasket	cmn	o型环	tr=ōuxínghuán
eng	O-ring	Noun	tr	circular gasket	cmn	o型環
eng	O-ring	Noun	tr	circular gasket	deu	O-Ring	m
eng	O-ring	Noun	tr	circular gasket	fin	o-rengas
eng	O-ring	Noun	tr	circular gasket	fra	joint torique	m
eng	O-ring	Noun	tr	circular gasket	pol	O-ring	m
eng	O-ring	Noun	tr	circular gasket	rus	кольцо́ уплотни́тельное кру́глого сече́ния	n
eng	O-ring	Noun	tr	circular gasket	rus	О-ринг	m
eng	O-ring	Noun	tr	circular gasket	rus	уплотни́тельное кольцо́ кру́глого сече́ния	n
eng	O-ring	Noun	tr	circular gasket	spa	junta tórica	f
eng	O-shaped	Adjective	tr	shaped like the 15th letter of the alphabet	deu	O-förmig
eng	o-stem	Noun	tr	Translations	deu	o-Stamm	m
