	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	afr	Obadja
eng	Obadiah	Proper noun	tr	book of the Old Testament	bre	Ovadia	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	cat	Abdies
eng	Obadiah	Proper noun	tr	book of the Old Testament	cdo	阿巴底亞書	tr=Ŏ̤-bă-dī-ā-cṳ̆
eng	Obadiah	Proper noun	tr	book of the Old Testament	ceb	Abdias
eng	Obadiah	Proper noun	tr	book of the Old Testament	ces	Abdiáš	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	ces	Abdijáš	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	cmn	俄巴底亚书	tr=Ébādǐyàshū
eng	Obadiah	Proper noun	tr	book of the Old Testament	cmn	俄巴底亞書
eng	Obadiah	Proper noun	tr	book of the Old Testament	cos	Abdia
eng	Obadiah	Proper noun	tr	book of the Old Testament	cym	Obadeia	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	dan	Obadias
eng	Obadiah	Proper noun	tr	book of the Old Testament	deu	Obadja
eng	Obadiah	Proper noun	tr	book of the Old Testament	ell	Οβδιού	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	est	Obadja raamat
eng	Obadiah	Proper noun	tr	book of the Old Testament	eus	Abdias
eng	Obadiah	Proper noun	tr	book of the Old Testament	fao	Obadias	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	fin	Obadja
eng	Obadiah	Proper noun	tr	book of the Old Testament	fra	Abdias
eng	Obadiah	Proper noun	tr	book of the Old Testament	fry	Obadja
eng	Obadiah	Proper noun	tr	book of the Old Testament	gla	Obadiah	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	gle	Leabhar Óbaidiá	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	gle	Óbaidiá	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	grc	Ὀβδιοῦ	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	hak	俄巴底亚书	tr=Ngò-pâ-tí-â-sû
eng	Obadiah	Proper noun	tr	book of the Old Testament	hak	俄巴底亞書
eng	Obadiah	Proper noun	tr	book of the Old Testament	haw	ʻObadia
eng	Obadiah	Proper noun	tr	book of the Old Testament	heb	עֹבַדְיָה
eng	Obadiah	Proper noun	tr	book of the Old Testament	hun	Abdiás
eng	Obadiah	Proper noun	tr	book of the Old Testament	ido	Abdias	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	isl	Óbadía	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	ita	Obadia	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	jpn	オバデヤ書	tr=Obadeya-sho
eng	Obadiah	Proper noun	tr	book of the Old Testament	kat	აბდია
eng	Obadiah	Proper noun	tr	book of the Old Testament	kaz	Абди
eng	Obadiah	Proper noun	tr	book of the Old Testament	lat	Abdiæ	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	lav	Obadja	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	lim	Obadia
eng	Obadiah	Proper noun	tr	book of the Old Testament	lit	Abdijo knyga	f
eng	Obadiah	Proper noun	tr	book of the Old Testament	mlt	Ktieb Għabdija
eng	Obadiah	Proper noun	tr	book of the Old Testament	mri	Oparia
eng	Obadiah	Proper noun	tr	book of the Old Testament	nld	Obadja	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	nor	Obadias
eng	Obadiah	Proper noun	tr	book of the Old Testament	nor	Obadja
eng	Obadiah	Proper noun	tr	book of the Old Testament	pol	Księga Abdiasza	f
eng	Obadiah	Proper noun	tr	book of the Old Testament	por	Abdias
eng	Obadiah	Proper noun	tr	book of the Old Testament	por	Obadias	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	ron	Obadia	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	rus	Кни́га А́вдия	f
eng	Obadiah	Proper noun	tr	book of the Old Testament	sco	Obadiah
eng	Obadiah	Proper noun	tr	book of the Old Testament	slk	Abdiáš	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	slv	Abdija
eng	Obadiah	Proper noun	tr	book of the Old Testament	spa	Abdías
eng	Obadiah	Proper noun	tr	book of the Old Testament	spa	Obadías	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	swa	Obadia
eng	Obadiah	Proper noun	tr	book of the Old Testament	swe	Obadja
eng	Obadiah	Proper noun	tr	book of the Old Testament	tgl	Obadias	m
eng	Obadiah	Proper noun	tr	book of the Old Testament	war	Obadia
eng	Obadiah	Proper noun	tr	book of the Old Testament	yue	俄巴底亚书	tr=ngo4 baa1 dai2 aa3 syu1
eng	Obadiah	Proper noun	tr	book of the Old Testament	yue	俄巴底亞書
eng	Obadiah	Proper noun	tr	book of the Old Testament	zea	Obadja
eng	Obamamania	Noun	tr	admiration for Barack Obama	fra	obamania	f
eng	Obamamania	Noun	tr	admiration for Barack Obama	rus	Обамомания	f
