	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	Odaenathus	Proper noun	tr		fra	Odénat
eng	Odaenathus	Proper noun	tr		lat	Odaenathus
eng	Odaenathus	Proper noun	tr		rus	Оденат
eng	Odajyan	Proper noun	tr	surname	hye	Օդաջյան
eng	Odajyan	Proper noun	tr	surname	rus	Одаджя́н
eng	odalisque	Noun	tr	a female harem slave	ara	جَارِيَّة	f
eng	odalisque	Noun	tr	a female harem slave	cat	odalisca	f
eng	odalisque	Noun	tr	a female harem slave	cmn	宫女	tr=gōngnǚ
eng	odalisque	Noun	tr	a female harem slave	cmn	宮女
eng	odalisque	Noun	tr	a female harem slave	deu	Odaliske	f
eng	odalisque	Noun	tr	a female harem slave	ell	οδαλίσκη	f
eng	odalisque	Noun	tr	a female harem slave	fra	odalisque	f
eng	odalisque	Noun	tr	a female harem slave	hbs	džarija	f
eng	odalisque	Noun	tr	a female harem slave	hbs	odaliska	f
eng	odalisque	Noun	tr	a female harem slave	hbs	одалиска	f
eng	odalisque	Noun	tr	a female harem slave	hbs	џарија	f
eng	odalisque	Noun	tr	a female harem slave	hun	odaliszk
eng	odalisque	Noun	tr	a female harem slave	isl	ódalíska
eng	odalisque	Noun	tr	a female harem slave	ita	odalisca	f
eng	odalisque	Noun	tr	a female harem slave	nld	odalisk
eng	odalisque	Noun	tr	a female harem slave	pol	odaliska
eng	odalisque	Noun	tr	a female harem slave	por	odalisca	f
eng	odalisque	Noun	tr	a female harem slave	rus	одали́ска	f
eng	odalisque	Noun	tr	a female harem slave	spa	odalisca	f
eng	odalisque	Noun	tr	a female harem slave	tur	cariye
eng	odalisque	Noun	tr	a female harem slave	tur	halayık
eng	odalisque	Noun	tr	a female harem slave	tur	odalık
eng	odango	Noun	tr	sweet dumpling	jpn	お団子	tr=おだんご, odango	sc=Jpan
eng	odd	Adjective	tr	about	cat	i escaig
eng	odd	Adjective	tr	about	ell	πάνω κάτω
eng	odd	Adjective	tr	about	ell	συν πλην
eng	odd	Adjective	tr	about	fin	noin
eng	odd	Adjective	tr	about	fin	suunnilleen
eng	odd	Adjective	tr	about	fra	à peu près
eng	odd	Adjective	tr	about	glg	achegadamente
eng	odd	Adjective	tr	about	glg	cuasemente
eng	odd	Adjective	tr	about	hun	egynéhány
eng	odd	Adjective	tr	about	hun	valahány
eng	odd	Adjective	tr	about	ita	all'incirca
eng	odd	Adjective	tr	about	ita	a occhio e croce
eng	odd	Adjective	tr	about	ita	approssimativamente
eng	odd	Adjective	tr	about	ita	circa
eng	odd	Adjective	tr	about	nld	bij benadering
eng	odd	Adjective	tr	about	nld	ongeveer
eng	odd	Adjective	tr	about	por	aproximadamente
eng	odd	Adjective	tr	about	rus	о́коло
eng	odd	Adjective	tr	about	rus	приблизи́тельно
eng	odd	Adjective	tr	about	spa	aproximadamente
eng	odd	Adjective	tr	about	spa	y pico
eng	odd	Adjective	tr	casual, irregular	fin	satunnainen
eng	odd	Adjective	tr	casual, irregular	gla	corra
eng	odd	Adjective	tr	casual, irregular	gle	corr
eng	odd	Adjective	tr	casual, irregular	gle	corr-
eng	odd	Adjective	tr	casual, irregular	glg	ventureiro	m
eng	odd	Adjective	tr	casual, irregular	glg	voandeiro	m
eng	odd	Adjective	tr	casual, irregular	hun	alkalmi
eng	odd	Adjective	tr	casual, irregular	hun	rendszertelen
eng	odd	Adjective	tr	casual, irregular	hun	véletlenszerű
eng	odd	Adjective	tr	casual, irregular	ita	casuale
