	acharya	Noun	tr	Disciplinarian, Scholar, Academic, Expert, Specialist.	hin	आचार्य	m
eng	OK	Adjective	tr	all right, permitted	amh	እሺ
eng	OK	Adjective	tr	all right, permitted	ara	أُوكَي	tr=ʾokay
eng	OK	Adjective	tr	all right, permitted	ara	أُوكَي	tr=ʾukay
eng	OK	Adjective	tr	all right, permitted	ara	حَسَنًا
eng	OK	Adjective	tr	all right, permitted	ara	صَحِيح
eng	OK	Adjective	tr	all right, permitted	ara	طَيِّب
eng	OK	Adjective	tr	all right, permitted	ase	O@Side-PalmForward K@Side-PalmForward
eng	OK	Adjective	tr	all right, permitted	cat	d'acord
eng	OK	Adjective	tr	all right, permitted	cym	iawn
eng	OK	Adjective	tr	all right, permitted	deu	Gut
eng	OK	Adjective	tr	all right, permitted	deu	in Ordnung
eng	OK	Adjective	tr	all right, permitted	deu	OK
eng	OK	Adjective	tr	all right, permitted	deu	Okay
eng	OK	Adjective	tr	all right, permitted	ell	εντάξει
eng	OK	Adjective	tr	all right, permitted	est	hästi
eng	OK	Adjective	tr	all right, permitted	est	okei
eng	OK	Adjective	tr	all right, permitted	fao	alt í lagi
eng	OK	Adjective	tr	all right, permitted	fin	OK
eng	OK	Adjective	tr	all right, permitted	fin	okei
eng	OK	Adjective	tr	all right, permitted	fra	bien
eng	OK	Adjective	tr	all right, permitted	fra	permis
eng	OK	Adjective	tr	all right, permitted	fra	pouvoir
eng	OK	Adjective	tr	all right, permitted	gle	ceart go leor
eng	OK	Adjective	tr	all right, permitted	heb	או. קיי.
eng	OK	Adjective	tr	all right, permitted	heb	בסדר	tr=beseder
eng	OK	Adjective	tr	all right, permitted	hin	ओके
eng	OK	Adjective	tr	all right, permitted	hun	oké
eng	OK	Adjective	tr	all right, permitted	hun	rendben
eng	OK	Adjective	tr	all right, permitted	isl	allt í lagi
eng	OK	Adjective	tr	all right, permitted	isl	ókei
eng	OK	Adjective	tr	all right, permitted	jpn	OK	tr=ōkē
eng	OK	Adjective	tr	all right, permitted	jpn	オーケー	tr=ōkē
eng	OK	Adjective	tr	all right, permitted	jpn	はい
eng	OK	Adjective	tr	all right, permitted	jpn	よし	tr=yoshi
eng	OK	Adjective	tr	all right, permitted	jpn	大丈夫	tr=だいじょうぶ, daijōbu
eng	OK	Adjective	tr	all right, permitted	khm	អូខី
eng	OK	Adjective	tr	all right, permitted	kor	오케이
eng	OK	Adjective	tr	all right, permitted	kor	괜찮다
eng	OK	Adjective	tr	all right, permitted	lao	ເວີຽ
eng	OK	Adjective	tr	all right, permitted	mkd	в ред
eng	OK	Adjective	tr	all right, permitted	mkd	до́бро
eng	OK	Adjective	tr	all right, permitted	mkd	оке́ј
eng	OK	Adjective	tr	all right, permitted	mon	болно	sc=Cyrl
eng	OK	Adjective	tr	all right, permitted	nld	oké
eng	OK	Adjective	tr	all right, permitted	por	OK	m
eng	OK	Adjective	tr	all right, permitted	rus	ла́дно
eng	OK	Adjective	tr	all right, permitted	rus	оке́й
eng	OK	Adjective	tr	all right, permitted	rus	хорошо́
eng	OK	Adjective	tr	all right, permitted	slk	(byť) v poriadku
eng	OK	Adjective	tr	all right, permitted	spa	bien
eng	OK	Adjective	tr	all right, permitted	swe	okej
eng	OK	Adjective	tr	all right, permitted	tgl	sige
eng	OK	Adjective	tr	all right, permitted	tha	โอเค
eng	OK	Adjective	tr	all right, permitted	tur	peki
eng	OK	Adjective	tr	all right, permitted	ukr	до́бре
eng	OK	Adjective	tr	all right, permitted	ukr	оке́й
eng	OK	Adjective	tr	all right, permitted	vie	được
eng	OK	Adjective	tr	all right, permitted	vie	tốt
eng	OK	Adjective	tr	all right, permitted	zho	OK	tr=ōukēi	sc=Hani
eng	OK	Adjective	tr	all right, permitted	zho	可以	tr=kěyǐ	sc=Hani
eng	OK	Adjective	tr	all right, permitted	zho	好	tr=hǎo	sc=Hani
eng	OK	Adjective	tr	all right, permitted	zho	沒事	sc=Hani
eng	OK	Adjective	tr	all right, permitted	zho	没事	tr=méishì	sc=Hani
eng	OK	Adjective	tr	all right, permitted	zho	行	tr=xíng	sc=Hani
eng	OK	Adjective	tr	in good health or in a good emotional state	amh	ደህና
eng	OK	Adjective	tr	in good health or in a good emotional state	amh	ደሕና
eng	OK	Adjective	tr	in good health or in a good emotional state	amh	ደኅና
eng	OK	Adjective	tr	in good health or in a good emotional state	ara	أُوكَي	tr=ʾokay
eng	OK	Adjective	tr	in good health or in a good emotional state	ara	أُوكَي	tr=ʾukay
eng	OK	Adjective	tr	in good health or in a good emotional state	ara	بِخَيْر	tr=bi-ḵayr
eng	OK	Adjective	tr	in good health or in a good emotional state	ara	عَلَى مَا يُرَام
eng	OK	Adjective	tr	in good health or in a good emotional state	cym	iawn
eng	OK	Adjective	tr	in good health or in a good emotional state	deu	alles in Ordnung
eng	OK	Adjective	tr	in good health or in a good emotional state	deu	in Ordnung
eng	OK	Adjective	tr	in good health or in a good emotional state	deu	OK
eng	OK	Adjective	tr	in good health or in a good emotional state	est	hästi
eng	OK	Adjective	tr	in good health or in a good emotional state	fin	okei
eng	OK	Adjective	tr	in good health or in a good emotional state	fra	ça va
eng	OK	Adjective	tr	in good health or in a good emotional state	hin	ठीक
eng	OK	Adjective	tr	in good health or in a good emotional state	hun	nincs baja
eng	OK	Adjective	tr	in good health or in a good emotional state	hun	rendben van
eng	OK	Adjective	tr	in good health or in a good emotional state	jpn	OK	tr=ōkē
eng	OK	Adjective	tr	in good health or in a good emotional state	jpn	オーケー	tr=ōkē
eng	OK	Adjective	tr	in good health or in a good emotional state	jpn	大丈夫	tr=だいじょうぶ, daijōbu
eng	OK	Adjective	tr	in good health or in a good emotional state	kat	კაი	sc=Geor
eng	OK	Adjective	tr	in good health or in a good emotional state	kor	괜찮다
eng	OK	Adjective	tr	in good health or in a good emotional state	mkd	в ред
eng	OK	Adjective	tr	in good health or in a good emotional state	mkd	до́бро
eng	OK	Adjective	tr	in good health or in a good emotional state	por	bem
eng	OK	Adjective	tr	in good health or in a good emotional state	rus	быть в поря́дке
eng	OK	Adjective	tr	in good health or in a good emotional state	rus	всё в поря́дке
eng	OK	Adjective	tr	in good health or in a good emotional state	rus	ОК
eng	OK	Adjective	tr	in good health or in a good emotional state	rus	оке́й
eng	OK	Adjective	tr	in good health or in a good emotional state	spa	bien
